===========================================================================================================================================

  Filename:    Precision-Reference.txt

  Title:       A Verification Guide to Stat Budgeting in AzerothCore.
  Description: This document provides a concise reference for validating stat budgets within AzerothCore.
               This document is intended for reference and verification. It is not optimized for day-to-day item creation.

  Information: All calculations are derived from the AzerothCore database (ACDB 335.14-dev).
               ChatGPT was utilized in the creation of this document, to assist with analysis and formatting.
               All results and conclusions were manually verified.

  Author:      Aumuz Messick

  Version:     1.0

  Created:     2025-12-18
  Updated:     2025-12-27

===========================================================================================================================================



===========================================================================================================================================
  A Verification Guide to Stat Budgeting in AzerothCore. v1.0
===========================================================================================================================================



===========================================================================================================================================
  Introduction and Workflow:
===========================================================================================================================================

      The purpose of this document is to provide readers with a concise framework for the verification of stat budgets
  of existing equipment and weapon items in AzerothCore. Using this framework, readers can observe and validate how
  stat budgets vary by ItemLevel (iLvl), Quality, and item configuration. This document also defines the procedure for
  calculating item buy and sell prices based on the Final Budget.

      This document is intended for reference and verification. It is not optimized for day-to-day item creation. Developers
  seeking guidance on creating custom items should refer to "A Developers Handbook to Stat Budgeting Custom Items in
  AzerothCore v1.0" (./Developer-Handbook.txt).



  This guide is organized into a four-step workflow. Each step builds directly on the previous step.

   - Step 1: Determine the Base Budget from the "Observable ItemLevel to Budget Table".
   - Step 2: Calculate the Final Budget by applying the appropriate Slot Multiplier.
   - Step 3: Allocate the Final Budget using the "Observable Stat to Cost Table".
   - Step 4: Use the Final Budget to calculate the item's buy and sell price.



===========================================================================================================================================
  Step 1: Determine the Base Budget from the "Observable ItemLevel to Budget Table".
===========================================================================================================================================

      The Observable ItemLevel to Budget Table defines base stat budgets derived from observed equipment and weapon items
  in AzerothCore 3.3.5. To determine an item's Base Budget, locate the row corresponding to the item's ItemLevel and the
  column corresponding to its Quality Tier. The value at this intersection is the Base Budget.

      This table contains only values observed in the underlying dataset and does not include interpolated, inferred, or
  synthesized budgets. Its purpose is to document existing itemization behavior, rather than to model or recommend
  potential item configurations.



  Observable ItemLevel to Budget Table:

  +------+------------+------------+------------+------------+------------+
  | iLvl |     Common |   Uncommon |       Rare |       Epic |  Legendary |
  +------+------------+------------+------------+------------+------------+
  |   10 |    7.47446 |   10.06110 |            |            |            |
  |   11 |    7.78296 |   10.40652 |            |            |            |
  |   12 |    8.24744 |   11.90431 |            |            |            |
  |   13 |    8.85678 |   12.76101 |            |            |            |
  |   14 |    8.96955 |   13.70037 |            |            |            |
  |   15 |    8.97974 |   14.56280 |            |            |            |
  |   16 |    9.82118 |   15.39024 |            |            |            |
  |   17 |    9.82118 |   16.54371 |            |            |            |
  |   18 |   10.27522 |   17.05086 |   22.35640 |            |            |
  |   19 |   10.27522 |   17.60953 |   22.35640 |            |            |
  |   20 |   11.81757 |   18.11129 |   22.35640 |            |            |
  |   21 |   12.68691 |   18.59943 |   22.54760 |            |            |
  |   22 |   14.09457 |   19.52367 |   24.02528 |            |            |
  |   23 |   14.24801 |   20.10602 |   25.56320 |            |            |
  |   24 |   14.41154 |   21.28266 |   26.98934 |            |            |
  |   25 |   14.41154 |   21.88611 |   28.50889 |            |            |
  |   26 |   14.57581 |   23.02496 |   28.84695 |            |            |
  |   27 |   14.57581 |   23.95618 |   28.84695 |            |            |
  |   28 |            |   24.43333 |   29.04808 |            |            |
  |   29 |   18.68265 |   24.89847 |   30.28513 |            |            |
  |   30 |   19.92584 |   25.19836 |   32.33845 |            |            |
  |   31 |            |   26.26939 |   32.92316 |            |            |
  |   32 |   23.47500 |   27.12279 |   34.37868 |            |            |
  |   33 |            |   28.01757 |   35.45953 |            |            |
  |   34 |   23.47500 |   28.76901 |   37.29798 |            |            |
  |   35 |   23.47500 |   28.91102 |   37.29798 |            |            |
  |   36 |   23.47500 |   29.83165 |   38.39228 |   32.99517 |            |
  |   37 |   23.47500 |   30.74852 |   39.15862 |            |            |
  |   38 |            |   32.16917 |   40.99844 |            |            |
  |   39 |            |   32.76573 |   42.28592 |            |            |
  |   40 |   24.58699 |   33.64358 |   42.88719 |   36.93060 |            |
  |   41 |            |   35.03316 |   44.52325 |   39.57883 |            |
  |   42 |            |   36.75731 |   45.86605 |   44.84446 |            |
  |   43 |            |   38.18908 |   47.24410 |   46.73541 |            |
  |   44 |   27.59684 |   39.46223 |   47.40463 |   55.81199 |            |
  |   45 |   28.12405 |   40.70254 |   48.11398 |   58.80332 |            |
  |   46 |   32.67691 |   42.06264 |   48.83731 |   60.58966 |            |
  |   47 |   33.64792 |   43.01479 |   49.81008 |   64.65072 |            |
  |   48 |            |   43.31066 |   49.81008 |   64.65072 |            |
  |   49 |            |   43.89506 |   50.26408 |   64.65072 |            |
  |   50 |   37.73814 |   44.97053 |   51.54198 |   64.65072 |            |
  |   51 |            |   47.04863 |   55.26483 |   64.65072 |            |
  |   52 |            |   48.38759 |   56.75355 |   64.65072 |            |
  |   53 |            |   48.51300 |   58.04461 |   64.65072 |            |
  |   54 |            |   48.51300 |   58.40114 |   64.65072 |            |
  |   55 |   40.69394 |   48.68827 |   59.73884 |   64.65072 |            |
  |   56 |            |   50.69874 |   60.02128 |   64.65072 |            |
  |   57 |            |   52.03427 |   61.21932 |   65.12937 |            |
  |   58 |            |   52.14291 |   61.55092 |   68.50902 |            |
  |   59 |            |   52.14291 |   64.43199 |   72.44435 |            |
  |   60 |            |   52.14291 |   65.45773 |   72.44435 |            |
  |   61 |            |   52.75799 |   67.18677 |   72.44435 |            |
  |   62 |            |   53.66726 |   67.69100 |   72.44435 |            |
  |   63 |            |   56.48178 |   68.09519 |   72.44435 |            |
  |   64 |            |   59.80018 |   68.18552 |   74.88614 |            |
  |   65 |            |   66.73082 |   70.31548 |   85.07260 |            |
  |   66 |            |            |   70.98102 |   91.15479 |            |
  |   67 |            |            |            |   91.15479 |            |
  |   68 |            |            |   70.98102 |   91.15479 |            |
  |   69 |   42.75003 |            |            |   91.15479 |            |
  |   70 |   46.66655 |            |   70.98102 |   91.15479 |            |
  |   71 |   46.66655 |            |   72.73440 |   92.42994 |            |
  |   72 |   49.61440 |            |            |   97.49462 |            |
  |   73 |            |            |   81.12333 |  103.91645 |            |
  |   74 |            |            |   88.15621 |  103.91645 |            |
  |   75 |   49.61440 |            |            |  104.62451 |            |
  |   76 |            |   78.01296 |            |  104.62451 |   68.98266 |
  |   77 |            |            |            |  104.62451 |            |
  |   78 |            |            |            |  104.62451 |            |
  |   79 |            |            |            |  104.62451 |            |
  |   80 |   53.17109 |   80.74012 |   89.10736 |  104.62451 |   80.44288 |
  |   81 |            |   86.21895 |            |  104.62451 |            |
  |   82 |            |            |   94.96167 |            |            |
  |   83 |            |   86.21895 |            |  104.62451 |            |
  |   84 |            |   86.21895 |            |  104.62451 |            |
  |   85 |   56.92547 |            |   94.96167 |  108.54331 |            |
  |   86 |            |            |            |  111.10945 |            |
  |   87 |            |   86.21895 |            |            |            |
  |   88 |            |            |   96.28245 |  111.82436 |            |
  |   89 |            |            |            |  111.82436 |            |
  |   90 |   67.44186 |   86.21895 |            |  111.82436 |   87.91394 |
  |   91 |            |            |   96.28245 |            |            |
  |   92 |            |            |            |  113.76239 |            |
  |   93 |            |   86.21895 |            |            |            |
  |   94 |            |            |  100.90888 |            |            |
  |   95 |            |            |            |  118.73696 |            |
  |   96 |            |   86.21895 |            |            |            |
  |   97 |            |            |  109.24790 |            |            |
  |   98 |            |            |            |            |            |
  |   99 |            |   86.50521 |            |            |            |
  |  100 |            |            |  128.49350 |  122.86945 |  135.31830 |
  |  101 |            |            |  128.49350 |            |            |
  |  102 |            |   86.50521 |  128.49350 |            |            |
  |  103 |            |   86.50521 |  128.49350 |            |            |
  |  104 |            |            |            |            |            |
  |  105 |            |   86.50521 |            |  128.68217 |            |
