"entry","entry","Quality","QualityName","ItemLevel","ItemLevelBracket","slot_group","slot_group_desc","slot","slot_name","class","class_name","subclass","subclass_name","InventoryType","InventoryTypeName","RequiredLevel","RequiredLevelBracket","BuyPrice","SellPrice","weight","drop_environment","source_type","stat_type1","stat_value1","stat_cost1","stat_total1","stat_type2","stat_value2","stat_cost2","stat_total2","stat_type3","stat_value3","stat_cost3","stat_total3","stat_type4","stat_value4","stat_cost4","stat_total4","stat_type5","stat_value5","stat_cost5","stat_total5","stat_type6","stat_value6","stat_cost6","stat_total6","stat_type7","stat_value7","stat_cost7","stat_total7","stat_type8","stat_value8","stat_cost8","stat_total8","stat_type9","stat_value9","stat_cost9","stat_total9","stat_type10","stat_value10","stat_cost10","stat_total10","stat_sum","dmg_min1","dmg_max1","delay","DPS","armor","armorCost","RandomProperty","RandomSuffix","socketBonus","socketCost","budget_actual","mod_drop","mod_misc","mod_slot","mod_source","budget_normalized","budget_target_raw","budget_diff_raw","budget_perc_raw","budget_target_3pnt","budget_diff_3pnt","budget_perc_3pnt","budget_target_mono","budget_diff_mono","budget_perc_mono"
"1913","Studded Blackjack","1","Common","10","10","1H-Weapon","1H-Axe, 1H-Mace, 1H-Sword, Dagger, Fist-Weapon","20421","Weapon    | 1H-Mace       | Main-Hand         ","2","Weapon","4","1H-Mace","21","Main-Hand","5","10","743","148","0.5","World","Creature","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0.00000","5","10","1800","4.16667","0","0.00000","0","0","0","0.00000","4.16667","1.00","1.00","1.01","1.00","4.12542","7.60515","-3.47973","0.54245","7.47446","-3.34904","0.55194","7.47446","-3.34904","0.55194"
"2282","Rodentia Shortsword","1","Common","10","10","1H-Weapon","1H-Axe, 1H-Mace, 1H-Sword, Dagger, Fist-Weapon","20721","Weapon    | 1H-Sword      | Main-Hand         ","2","Weapon","7","1H-Sword","21","Main-Hand","5","10","697","139","1","World","Creature","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0.00000","7","13","2300","4.34783","0","0.00000","0","0","0","0.00000","4.34783","1.00","1.00","0.96","1.00","4.52899","7.60515","-3.07616","0.59552","7.47446","-2.94547","0.60593","7.47446","-2.94547","0.60593"
"2268","Stonesplinter Blade","1","Common","10","10","1H-Weapon","1H-Axe, 1H-Mace, 1H-Sword, Dagger, Fist-Weapon","20721","Weapon    | 1H-Sword      | Main-Hand         ","2","Weapon","7","1H-Sword","21","Main-Hand","5","10","732","146","1","World","Creature","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0.00000","6","12","2000","4.50000","0","0.00000","0","0","0","0.00000","4.50000","1.00","1.00","0.96","1.00","4.68750","7.60515","-2.91765","0.61636","7.47446","-2.78696","0.62714","7.47446","-2.78696","0.62714"
"4302","Small Green Dagger","1","Common","10","10","1H-Weapon","1H-Axe, 1H-Mace, 1H-Sword, Dagger, Fist-Weapon","21513","Weapon    | Dagger        | One-Hand          ","2","Weapon","15","Dagger","13","One-Hand","5","10","732","146","0.8834057902536163","World","Creature","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0.00000","4","9","1500","4.33333","0","0.00000","0","0","0","0.00000","4.33333","1.00","1.00","0.75","1.00","5.77777","7.60515","-1.82738","0.75972","7.47446","-1.69669","0.77300","7.47446","-1.69669","0.77300"
"14098","Native Cloak","1","Common","10","10","Back","Back","40116","Equipment | Cloth         | Back              ","4","Equipment","1","Cloth","16","Back","5","10","219","43","0.7849801740212543","World","Creature","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0.00000","0","0","0","0.00000","9","1.80000","0","0","0","0.00000","1.80000","1.00","1.00","0.41","1.00","4.39024","7.60515","-3.21491","0.57727","7.47446","-3.08422","0.58737","7.47446","-3.08422","0.58737"
"15299","Grizzly Cape","1","Common","10","10","Back","Back","40116","Equipment | Cloth         | Back              ","4","Equipment","1","Cloth","16","Back","5","10","212","42","0.7551639562138418","World","Creature","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0.00000","0","0","0","0.00000","9","1.80000","0","0","0","0.00000","1.80000","1.00","1.00","0.41","1.00","4.39024","7.60515","-3.21491","0.57727","7.47446","-3.08422","0.58737","7.47446","-3.08422","0.58737"
"15483","War Torn Cape","1","Common","10","10","Back","Back","40116","Equipment | Cloth         | Back              ","4","Equipment","1","Cloth","16","Back","5","10","210","42","0.721255099861831","World","Creature","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0.00000","0","0","0","0.00000","9","1.80000","0","0","0","0.00000","1.80000","1.00","1.00","0.41","1.00","4.39024","7.60515","-3.21491","0.57727","7.47446","-3.08422","0.58737","7.47446","-3.08422","0.58737"
"6514","Disciple's Cloak","1","Common","10","10","Back","Back","40116","Equipment | Cloth         | Back              ","4","Equipment","1","Cloth","16","Back","5","10","213","42","1","World","Gameobject","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0.00000","0","0","0","0.00000","9","1.80000","0","0","0","0.00000","1.80000","1.00","1.00","0.41","1.00","4.39024","7.60515","-3.21491","0.57727","7.47446","-3.08422","0.58737","7.47446","-3.08422","0.58737"
"795","Knitted Tunic","1","Common","10","10","Major-Armor","Chest, Legs, Robe","40105","Equipment | Cloth         | Chest             ","4","Equipment","1","Cloth","5","Chest","5","10","281","56","1","World","Vendor","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0.00000","0","0","0","0.00000","18","3.60000","0","0","0","0.00000","3.60000","1.00","1.00","0.59","1.00","6.10169","7.60515","-1.50346","0.80231","7.47446","-1.37277","0.81634","7.47446","-1.37277","0.81634"
"2364","Woven Vest","1","Common","10","10","Major-Armor","Chest, Legs, Robe","40105","Equipment | Cloth         | Chest             ","4","Equipment","1","Cloth","5","Chest","5","10","296","59","1","World","Vendor","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0.00000","0","0","0","0.00000","18","3.60000","0","0","0","0.00000","3.60000","1.00","1.00","0.59","1.00","6.10169","7.60515","-1.50346","0.80231","7.47446","-1.37277","0.81634","7.47446","-1.37277","0.81634"
"794","Knitted Pants","1","Common","10","10","Major-Armor","Chest, Legs, Robe","40107","Equipment | Cloth         | Legs              ","4","Equipment","1","Cloth","7","Legs","5","10","280","56","1","World","Vendor","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0","0","0.00","0.00000","0.00000","0","0","0","0.00000","16","3.20000","0","0","0","0.00000","3.20000","1.00","1.00","0.72","1.00","4.44444","7.60515","-3.16071","0.58440","7.47446","-3.03002","0.59462","7.47446","-3.03002","0.59462"
