
                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  1. Create and Populate Master Curve Table: ACSBV3_0503A_curve_master                                                 ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:56:22                                                                                            0503A (v1.0)
                                                                                                                           
ItemLevel	ItemLevelBracket	Poor	Common	Uncommon	Rare	Epic	Legendary
10	10	0.00000	7.47446	10.06110	NULL	NULL	NULL
11	10	0.00000	7.78296	10.40652	NULL	NULL	NULL
12	10	0.00000	8.24744	11.90431	NULL	NULL	NULL
13	10	0.00000	8.85678	12.76101	NULL	NULL	NULL
14	10	0.00000	8.96955	13.70037	NULL	NULL	NULL
15	10	0.00000	8.97974	14.56280	NULL	NULL	NULL
16	10	0.00000	9.82118	15.39024	NULL	NULL	NULL
17	10	0.00000	9.82118	16.54371	NULL	NULL	NULL
18	10	0.00000	10.27522	17.05086	22.35640	NULL	NULL
19	10	0.00000	10.27522	17.60953	22.35640	NULL	NULL
20	20	0.00000	11.81757	18.11129	22.35640	NULL	NULL
21	20	0.00000	12.68691	18.59943	22.54760	NULL	NULL
22	20	0.00000	14.09457	19.52367	24.02528	NULL	NULL
23	20	0.00000	14.24801	20.10602	25.56320	NULL	NULL
24	20	0.00000	14.41154	21.28266	26.98934	NULL	NULL
25	20	0.00000	14.41154	21.88611	28.50889	NULL	NULL
26	20	0.00000	14.57581	23.02496	28.84695	NULL	NULL
27	20	0.00000	14.57581	23.95618	28.84695	NULL	NULL
28	20	0.00000	NULL	24.43333	29.04808	NULL	NULL
29	20	0.00000	18.68265	24.89847	30.28513	NULL	NULL
30	30	0.00000	19.92584	25.19836	32.33845	NULL	NULL
31	30	0.00000	NULL	26.26939	32.92316	NULL	NULL
32	30	0.00000	23.47500	27.12279	34.37868	NULL	NULL
33	30	0.00000	NULL	28.01757	35.45953	NULL	NULL
34	30	0.00000	23.47500	28.76901	37.29798	NULL	NULL
35	30	0.00000	23.47500	28.91102	37.29798	NULL	NULL
36	30	0.00000	23.47500	29.83165	38.39228	32.99517	NULL
