
                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  05-03B: Populate Fictional Band Values in ACSBV3_0503A_curve_bracket                                                 ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:56:25                                                                                            0503B (v1.0)
                                                                                                                           

The script is processing. Please wait...
ItemLevelBracket	Common	Uncommon	Rare	Epic	Legendary	Common_Slope	Uncommon_Slope	Rare_Slope	Epic_Slope	Legendary_Slope
10	9.05037	13.99905	22.35640	23.90803	23.90803	0.53390	0.75832	0.43454	0.46470	0.46470
20	14.38938	21.58221	26.70178	28.55500	28.55500	0.84941	0.73981	1.03513	0.44402	0.84981
30	22.88347	28.98032	37.05310	37.05310	37.05310	0.64431	1.06268	1.04230	2.07295	1.66715
40	29.32654	39.60711	47.47608	53.72464	53.72464	0.98895	0.97069	1.12208	1.21391	1.21391
50	39.21604	49.31399	58.69685	65.86378	65.86378	0.35340	0.76162	0.99149	1.55718	1.55718
60	42.75003	56.93016	68.61172	81.43553	81.43553	0.53905	2.10828	0.96370	1.97680	1.97680
70	48.14048	78.01296	78.24874	101.20348	101.20348	0.69078	0.71102	1.55796	0.65215	0.65215
80	55.04828	85.12318	93.82829	107.72494	107.72494	1.23936	0.11673	0.83181	0.70496	0.70496
90	67.44186	86.29052	102.14641	114.77457	114.77457	-0.18166	0.20433	2.63471	1.49349	2.05437
100	65.62522	88.33377	128.49350	129.70950	135.31830	0.66272	1.10548	0.00650	3.10413	2.54325
110	72.25243	99.38861	128.55846	160.75079	160.75079	1.76816	1.11570	2.81107	1.70056	1.70056
120	89.93405	110.54562	156.66912	177.75636	177.75636	0.63888	2.05734	2.05220	1.26276	1.26276
130	96.32285	131.11906	177.19115	190.38393	190.38393	1.55288	1.65443	2.49546	3.06929	3.06929
140	111.85160	147.66339	202.14576	221.07680	221.07680	1.73289	0.16518	0.51330	3.42510	3.42510
150	129.18052	149.31517	207.27880	255.32775	255.32775	1.63528	0.90569	2.06864	3.23217	6.46880
160	145.53334	158.37203	227.96520	287.64940	320.01571	0.63456	0.67418	2.49841	1.25423	1.39536
170	151.87898	165.11382	252.94930	300.19169	333.96926	1.13492	2.09647	2.82741	2.24320	2.49560
180	163.22821	186.07850	281.22335	322.62366	358.92527	1.13492	0.98061	-0.00306	2.24320	2.49560
190	174.57745	195.88463	281.19273	345.05563	383.88129	1.13492	1.27344	2.76563	2.24320	2.49560
200	185.92668	208.61904	308.84901	367.48760	408.83730	3.63432	4.07789	4.91621	7.18330	7.99156
210	222.26985	249.39789	358.01112	439.32057	488.75292	1.74934	1.96284	2.81767	3.45760	3.84665
220	239.76322	269.02633	386.18777	473.89654	527.21938	2.34768	2.63422	3.78142	4.64024	5.16236
230	263.24004	295.36849	424.00200	520.29892	578.84295	2.15739	2.42070	3.47492	4.26412	6.28238
240	284.81394	319.57549	458.75119	562.94015	641.66678	7.19061	8.06822	11.58194	14.21237	14.27308
250	356.71999	400.25768	574.57061	705.06382	784.39760	4.29688	4.82132	6.92101	8.49287	9.44848
260	399.68880	448.47083	643.78067	789.99248	878.88243	0.70525	0.79133	1.13595	1.39394	1.55079
270	406.74131	456.38410	655.14018	803.93190	894.39032	1.58813	1.78196	2.55801	3.13897	3.49217
280	422.62262	474.20372	680.72029	835.32161	929.31200	1.14669	1.28665	1.84698	2.26646	2.52148
290	434.08953	487.07017	699.19010	857.98618	954.52678	1.14669	1.28665	1.84698	2.26646	2.52148
300	445.55644	499.93662	717.65990	880.65074	979.74156	NULL	NULL	NULL	NULL	NULL

Script Complete.

                                                                                                                           
2025-12-19 18:56:28                                                                                            0503B (v1.0)
###########################################################################################################################
##  END PRINT OUT                                                                                                        ##
###########################################################################################################################
                                                                                                                           
                                                                                                                           
