
                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  1. Copy Master Curve Table: ACSBV3_ref_curve_master FROM ACSBV3_0503A_curve_master                                   ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:56:28                                                                                            0503C (v1.0)
                                                                                                                           
ItemLevel	Poor	Common	Uncommon	Rare	Epic	Legendary
10	0.00000	7.47446	10.06110	0.00000	0.00000	0.00000
11	0.00000	7.78296	10.40652	0.00000	0.00000	0.00000
12	0.00000	8.24744	11.90431	0.00000	0.00000	0.00000
13	0.00000	8.85678	12.76101	0.00000	0.00000	0.00000
14	0.00000	8.96955	13.70037	0.00000	0.00000	0.00000
15	0.00000	8.97974	14.56280	0.00000	0.00000	0.00000
16	0.00000	9.82118	15.39024	0.00000	0.00000	0.00000
17	0.00000	9.82118	16.54371	0.00000	0.00000	0.00000
18	0.00000	10.27522	17.05086	22.35640	0.00000	0.00000
19	0.00000	10.27522	17.60953	22.35640	0.00000	0.00000
20	0.00000	11.81757	18.11129	22.35640	0.00000	0.00000
21	0.00000	12.68691	18.59943	22.54760	0.00000	0.00000
22	0.00000	14.09457	19.52367	24.02528	0.00000	0.00000
23	0.00000	14.24801	20.10602	25.56320	0.00000	0.00000
24	0.00000	14.41154	21.28266	26.98934	0.00000	0.00000
25	0.00000	14.41154	21.88611	28.50889	0.00000	0.00000
26	0.00000	14.57581	23.02496	28.84695	0.00000	0.00000
27	0.00000	14.57581	23.95618	28.84695	0.00000	0.00000
28	0.00000	0.00000	24.43333	29.04808	0.00000	0.00000
29	0.00000	18.68265	24.89847	30.28513	0.00000	0.00000
30	0.00000	19.92584	25.19836	32.33845	0.00000	0.00000
31	0.00000	0.00000	26.26939	32.92316	0.00000	0.00000
32	0.00000	23.47500	27.12279	34.37868	0.00000	0.00000
33	0.00000	0.00000	28.01757	35.45953	0.00000	0.00000
34	0.00000	23.47500	28.76901	37.29798	0.00000	0.00000
35	0.00000	23.47500	28.91102	37.29798	0.00000	0.00000
36	0.00000	23.47500	29.83165	38.39228	32.99517	0.00000
37	0.00000	23.47500	30.74852	39.15862	0.00000	0.00000
38	0.00000	0.00000	32.16917	40.99844	0.00000	0.00000
39	0.00000	0.00000	32.76573	42.28592	0.00000	0.00000
40	0.00000	24.58699	33.64358	42.88719	36.93060	0.00000
41	0.00000	0.00000	35.03316	44.52325	39.57883	0.00000
42	0.00000	0.00000	36.75731	45.86605	44.84446	0.00000
43	0.00000	0.00000	38.18908	47.24410	46.73541	0.00000
44	0.00000	27.59684	39.46223	47.40463	55.81199	0.00000
45	0.00000	28.12405	40.70254	48.11398	58.80332	0.00000
46	0.00000	32.67691	42.06264	48.83731	60.58966	0.00000
47	0.00000	33.64792	43.01479	49.81008	64.65072	0.00000
48	0.00000	0.00000	43.31066	49.81008	64.65072	0.00000
49	0.00000	0.00000	43.89506	50.26408	64.65072	0.00000
50	0.00000	37.73814	44.97053	51.54198	64.65072	0.00000
