
                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  1. Create and Populate Temporary Table: ACSBV3_temp_curve                                                            ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:56:44                                                                                            0600B (v2.0)
                                                                                                                           
COUNT(*)
156

                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  2. Create and Populate Table: ACSBV3_0600B_dps_curve FROM ACSBV3_temp_curve ORDER BY slot_group, ItemLevelBracket    ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:56:44                                                                                            0600B (v2.0)
                                                                                                                           
slot_group	ItemLevelBracket	curve_raw	curve_3pnt
1H-Weapon	10	91.27853	0.00000
1H-Weapon	20	82.51026	0.00000
1H-Weapon	30	85.41443	0.00000
1H-Weapon	40	86.25185	0.00000
1H-Weapon	50	87.96210	0.00000
1H-Weapon	60	84.00007	0.00000
1H-Weapon	70	77.68045	0.00000
1H-Weapon	80	83.43533	0.00000
1H-Weapon	90	82.46365	0.00000
1H-Weapon	100	79.07332	0.00000
1H-Weapon	110	69.63194	0.00000
1H-Weapon	120	69.74297	0.00000
1H-Weapon	130	63.08003	0.00000
1H-Weapon	140	62.92337	0.00000
1H-Weapon	150	61.89613	0.00000
1H-Weapon	160	61.03020	0.00000
1H-Weapon	170	55.41136	0.00000
1H-Weapon	180	52.14748	0.00000
1H-Weapon	200	44.29236	0.00000
1H-Weapon	210	38.80526	0.00000
1H-Weapon	220	51.16730	0.00000
1H-Weapon	230	37.94193	0.00000
1H-Weapon	240	33.12523	0.00000
1H-Weapon	250	32.06132	0.00000
1H-Weapon	260	35.37312	0.00000
1H-Weapon	270	34.01252	0.00000
1H-Weapon	280	27.45240	0.00000
2H-Weapon	10	81.89551	0.00000
2H-Weapon	20	71.30818	0.00000
2H-Weapon	30	71.78074	0.00000
2H-Weapon	40	80.22697	0.00000
2H-Weapon	50	80.54741	0.00000
2H-Weapon	60	77.68372	0.00000
2H-Weapon	70	64.04405	0.00000
2H-Weapon	80	76.65841	0.00000
2H-Weapon	90	82.63561	0.00000
2H-Weapon	100	66.31368	0.00000
2H-Weapon	110	58.57731	0.00000
2H-Weapon	120	59.00750	0.00000
2H-Weapon	130	66.93673	0.00000
2H-Weapon	140	55.58565	0.00000
2H-Weapon	150	67.30654	0.00000
2H-Weapon	160	89.01889	0.00000
2H-Weapon	170	87.68790	0.00000
2H-Weapon	180	56.95325	0.00000
2H-Weapon	200	39.92129	0.00000
2H-Weapon	210	37.32169	0.00000
2H-Weapon	220	40.82116	0.00000
2H-Weapon	230	36.56186	0.00000
2H-Weapon	240	35.85943	0.00000
2H-Weapon	250	35.43936	0.00000
2H-Weapon	260	36.87929	0.00000
2H-Weapon	270	36.24559	0.00000
2H-Weapon	280	34.90928	0.00000
Ranged-Thrown	10	93.14040	0.00000
Ranged-Thrown	20	94.71400	0.00000
Ranged-Thrown	40	93.11830	0.00000
Ranged-Thrown	50	100.00001	0.00000
Ranged-Thrown	60	84.30050	0.00000
Ranged-Thrown	70	99.99999	0.00000
Ranged-Thrown	80	100.39761	0.00000
Ranged-Thrown	90	91.07185	0.00000
Ranged-Thrown	100	92.10899	0.00000
Ranged-Thrown	110	84.52494	0.00000
Ranged-Thrown	120	85.38643	0.00000
Ranged-Thrown	130	86.28366	0.00000
Ranged-Thrown	140	81.18365	0.00000
Ranged-Thrown	150	86.23395	0.00000
Ranged-Thrown	160	100.00000	0.00000
Ranged-Thrown	170	92.43439	0.00000
Ranged-Thrown	180	76.45466	0.00000
Ranged-Thrown	200	66.65598	0.00000
Ranged-Thrown	210	68.30090	0.00000
Ranged-Thrown	230	63.70335	0.00000
Ranged-Thrown	240	62.09405	0.00000
Ranged-Thrown	250	61.40261	0.00000
Ranged-Thrown	260	61.95518	0.00000
Ranged-Wand	10	99.84382	0.00000
