
                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  1. Create and Populate Temporary Table: ACSBV3_temp_curve                                                            ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:56:49                                                                                            0600C (v2.0)
                                                                                                                           
COUNT(*)
131

                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  2. Create and Populate Table: ACSBV3_0600C_armor_curve FROM ACSBV3_temp_curve ORDER BY slot_group, ItemLevelBracket  ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:56:49                                                                                            0600C (v2.0)
                                                                                                                           
slot_group	ItemLevelBracket	curve_raw	curve_3pnt
Back	10	70.44492	0.00000
Back	20	51.10078	0.00000
Back	30	52.20173	0.00000
Back	40	47.38979	0.00000
Back	50	49.38823	0.00000
Back	60	38.58517	0.00000
Back	70	40.72895	0.00000
Back	80	46.80044	0.00000
Back	90	39.17893	0.00000
Back	100	44.49898	0.00000
Back	110	39.32306	0.00000
Back	120	30.48409	0.00000
Back	130	31.45540	0.00000
Back	140	30.24800	0.00000
Back	150	24.86250	0.00000
Back	160	32.57558	0.00000
Back	170	36.98297	0.00000
Back	180	26.24886	0.00000
Back	200	17.59710	0.00000
Back	210	15.02227	0.00000
Back	220	12.74687	0.00000
Back	230	14.34019	0.00000
Back	240	11.08556	0.00000
Back	250	10.22371	0.00000
Back	260	11.65038	0.00000
Back	270	9.76384	0.00000
Back	280	8.82868	0.00000
Major-Armor	10	86.50082	0.00000
Major-Armor	20	75.20581	0.00000
Major-Armor	30	71.20562	0.00000
Major-Armor	40	74.99637	0.00000
Major-Armor	50	74.78666	0.00000
Major-Armor	60	66.23147	0.00000
Major-Armor	70	61.41191	0.00000
Major-Armor	80	70.23558	0.00000
Major-Armor	90	74.02878	0.00000
Major-Armor	100	52.94626	0.00000
Major-Armor	110	60.07239	0.00000
Major-Armor	120	57.68360	0.00000
Major-Armor	130	60.05152	0.00000
Major-Armor	140	58.06117	0.00000
Major-Armor	150	60.03127	0.00000
Major-Armor	160	67.29055	0.00000
Major-Armor	170	67.85319	0.00000
Major-Armor	180	53.73251	0.00000
Major-Armor	200	46.93512	0.00000
Major-Armor	210	42.34189	0.00000
Major-Armor	220	40.38147	0.00000
Major-Armor	230	28.48424	0.00000
Major-Armor	240	36.82186	0.00000
Major-Armor	250	30.48531	0.00000
Major-Armor	260	34.66550	0.00000
Major-Armor	270	31.52844	0.00000
Minor-Armor	10	89.01347	0.00000
Minor-Armor	20	74.20094	0.00000
Minor-Armor	30	70.26566	0.00000
Minor-Armor	40	75.81021	0.00000
Minor-Armor	50	69.17782	0.00000
Minor-Armor	60	61.84255	0.00000
Minor-Armor	70	59.70008	0.00000
Minor-Armor	80	65.97819	0.00000
Minor-Armor	90	77.50914	0.00000
Minor-Armor	100	65.06531	0.00000
Minor-Armor	110	58.96536	0.00000
Minor-Armor	120	55.04112	0.00000
Minor-Armor	130	58.77723	0.00000
Minor-Armor	140	55.24566	0.00000
Minor-Armor	150	56.84661	0.00000
Minor-Armor	160	69.85720	0.00000
Minor-Armor	170	73.99252	0.00000
Minor-Armor	180	49.91951	0.00000
Minor-Armor	200	43.43226	0.00000
Minor-Armor	210	39.11615	0.00000
Minor-Armor	220	34.78845	0.00000
Minor-Armor	230	28.31171	0.00000
Minor-Armor	240	31.84411	0.00000
Minor-Armor	250	29.65675	0.00000
Minor-Armor	260	30.87431	0.00000
Minor-Armor	270	30.45351	0.00000
Minor-Armor	280	31.76961	0.00000
Moderate-Armor	20	81.62444	0.00000
Moderate-Armor	30	68.06207	0.00000
Moderate-Armor	40	74.79076	0.00000
Moderate-Armor	50	73.84965	0.00000
Moderate-Armor	60	64.17733	0.00000
Moderate-Armor	70	59.30595	0.00000
Moderate-Armor	80	69.12230	0.00000
Moderate-Armor	90	76.54977	0.00000
Moderate-Armor	100	50.48341	0.00000
Moderate-Armor	110	59.52210	0.00000
Moderate-Armor	120	58.31224	0.00000
Moderate-Armor	130	59.76824	0.00000
Moderate-Armor	140	58.32628	0.00000
Moderate-Armor	150	57.70437	0.00000
Moderate-Armor	160	65.46046	0.00000
Moderate-Armor	170	77.76115	0.00000
Moderate-Armor	180	54.37984	0.00000
Moderate-Armor	200	47.34544	0.00000
Moderate-Armor	210	41.18702	0.00000
Moderate-Armor	220	38.70228	0.00000
Moderate-Armor	230	28.21981	0.00000
Moderate-Armor	240	35.27725	0.00000
Moderate-Armor	250	29.10068	0.00000
Moderate-Armor	260	32.36150	0.00000
Moderate-Armor	270	30.31550	0.00000
Shield	10	99.13087	0.00000
Shield	20	97.65370	0.00000
Shield	30	97.29448	0.00000
Shield	40	97.19346	0.00000
Shield	50	98.16101	0.00000
Shield	60	97.82687	0.00000
Shield	70	96.79691	0.00000
Shield	80	98.66078	0.00000
Shield	90	98.01067	0.00000
Shield	100	95.89909	0.00000
Shield	110	95.91923	0.00000
Shield	120	95.77057	0.00000
Shield	130	96.67751	0.00000
Shield	140	95.10651	0.00000
Shield	150	95.09846	0.00000
Shield	160	93.56183	0.00000
Shield	170	96.10791	0.00000
Shield	180	94.91427	0.00000
Shield	200	91.38102	0.00000
Shield	210	89.54095	0.00000
Shield	220	88.49094	0.00000
Shield	230	88.58788	0.00000
Shield	240	87.73676	0.00000
Shield	250	85.56224	0.00000
Shield	260	86.23773	0.00000
Shield	270	85.39952	0.00000

                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  3. Apply 3-Point Smoothing Window to Table: ACSBV3_0600C_armor_curve                                                 ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:56:51                                                                                            0600C (v2.0)
                                                                                                                           
slot_group	ItemLevelBracket	curve_raw	curve_3pnt
Back	10	70.44492	60.77285
Back	20	51.10078	57.91581
Back	30	52.20173	50.23077
Back	40	47.38979	49.65992
Back	50	49.38823	45.12106
Back	60	38.58517	42.90078
Back	70	40.72895	42.03819
Back	80	46.80044	42.23611
Back	90	39.17893	43.49278
Back	100	44.49898	41.00032
Back	110	39.32306	38.10204
Back	120	30.48409	33.75418
Back	130	31.45540	30.72916
Back	140	30.24800	28.85530
Back	150	24.86250	29.22869
Back	160	32.57558	31.47368
Back	170	36.98297	31.93580
Back	180	26.24886	26.94298
Back	200	17.59710	19.62274
Back	210	15.02227	15.12208
Back	220	12.74687	14.03644
Back	230	14.34019	12.72421
Back	240	11.08556	11.88315
Back	250	10.22371	10.98655
Back	260	11.65038	10.54598
Back	270	9.76384	10.08097
Back	280	8.82868	9.29626
Major-Armor	10	86.50082	80.85332
Major-Armor	20	75.20581	77.63742
Major-Armor	30	71.20562	73.80260
Major-Armor	40	74.99637	73.66288
Major-Armor	50	74.78666	72.00483
Major-Armor	60	66.23147	67.47668
Major-Armor	70	61.41191	65.95965
Major-Armor	80	70.23558	68.55876
Major-Armor	90	74.02878	65.73687
Major-Armor	100	52.94626	62.34914
Major-Armor	110	60.07239	56.90075
Major-Armor	120	57.68360	59.26917
Major-Armor	130	60.05152	58.59876
Major-Armor	140	58.06117	59.38132
Major-Armor	150	60.03127	61.79433
Major-Armor	160	67.29055	65.05834
Major-Armor	170	67.85319	62.95875
Major-Armor	180	53.73251	56.17361
Major-Armor	200	46.93512	47.66984
Major-Armor	210	42.34189	43.21949
Major-Armor	220	40.38147	37.06920
Major-Armor	230	28.48424	35.22919
Major-Armor	240	36.82186	31.93047
Major-Armor	250	30.48531	33.99089
Major-Armor	260	34.66550	32.22642
Major-Armor	270	31.52844	33.09697
Minor-Armor	10	89.01347	81.60721
Minor-Armor	20	74.20094	77.82669
Minor-Armor	30	70.26566	73.42560
Minor-Armor	40	75.81021	71.75123
Minor-Armor	50	69.17782	68.94353
Minor-Armor	60	61.84255	63.57348
Minor-Armor	70	59.70008	62.50694
Minor-Armor	80	65.97819	67.72914
Minor-Armor	90	77.50914	69.51755
Minor-Armor	100	65.06531	67.17994
Minor-Armor	110	58.96536	59.69060
Minor-Armor	120	55.04112	57.59457
Minor-Armor	130	58.77723	56.35467
Minor-Armor	140	55.24566	56.95650
Minor-Armor	150	56.84661	60.64982
Minor-Armor	160	69.85720	66.89878
Minor-Armor	170	73.99252	64.58974
Minor-Armor	180	49.91951	55.78143
Minor-Armor	200	43.43226	44.15597
Minor-Armor	210	39.11615	39.11229
Minor-Armor	220	34.78845	34.07210
Minor-Armor	230	28.31171	31.64809
Minor-Armor	240	31.84411	29.93752
Minor-Armor	250	29.65675	30.79172
Minor-Armor	260	30.87431	30.32819
Minor-Armor	270	30.45351	31.03248
Minor-Armor	280	31.76961	31.11156
Moderate-Armor	20	81.62444	74.84326
Moderate-Armor	30	68.06207	74.82576
Moderate-Armor	40	74.79076	72.23416
Moderate-Armor	50	73.84965	70.93925
Moderate-Armor	60	64.17733	65.77764
Moderate-Armor	70	59.30595	64.20186
Moderate-Armor	80	69.12230	68.32601
Moderate-Armor	90	76.54977	65.38516
Moderate-Armor	100	50.48341	62.18509
Moderate-Armor	110	59.52210	56.10592
Moderate-Armor	120	58.31224	59.20086
Moderate-Armor	130	59.76824	58.80225
Moderate-Armor	140	58.32628	58.59963
Moderate-Armor	150	57.70437	60.49704
Moderate-Armor	160	65.46046	66.97533
Moderate-Armor	170	77.76115	65.86715
Moderate-Armor	180	54.37984	59.82881
Moderate-Armor	200	47.34544	47.63743
Moderate-Armor	210	41.18702	42.41158
Moderate-Armor	220	38.70228	36.03637
Moderate-Armor	230	28.21981	34.06645
Moderate-Armor	240	35.27725	30.86591
Moderate-Armor	250	29.10068	32.24648
Moderate-Armor	260	32.36150	30.59256
Moderate-Armor	270	30.31550	31.33850
Shield	10	99.13087	98.39229
Shield	20	97.65370	98.02635
Shield	30	97.29448	97.38055
Shield	40	97.19346	97.54965
Shield	50	98.16101	97.72711
Shield	60	97.82687	97.59493
Shield	70	96.79691	97.76152
Shield	80	98.66078	97.82279
Shield	90	98.01067	97.52351
Shield	100	95.89909	96.60966
Shield	110	95.91923	95.86296
Shield	120	95.77057	96.12244
Shield	130	96.67751	95.85153
Shield	140	95.10651	95.62749
Shield	150	95.09846	94.58893
Shield	160	93.56183	94.92273
Shield	170	96.10791	94.86134
Shield	180	94.91427	94.13440
Shield	200	91.38102	91.94541
Shield	210	89.54095	89.80430
Shield	220	88.49094	88.87326
Shield	230	88.58788	88.27186
Shield	240	87.73676	87.29563
Shield	250	85.56224	86.51224
Shield	260	86.23773	85.73316
Shield	270	85.39952	85.81863

                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  4. Create and Populate Table: ACSBV3_aux_armor_curve                                                                 ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:56:51                                                                                            0600C (v2.0)
                                                                                                                           
ItemLevelBracket	Major-Armor	Moderate-Armor	Minor-Armor	Accessory	Shield	Back
10	80.85332	NULL	81.60721	NULL	98.39229	60.77285
20	77.63742	74.84326	77.82669	NULL	98.02635	57.91581
30	73.80260	74.82576	73.42560	NULL	97.38055	50.23077
40	73.66288	72.23416	71.75123	NULL	97.54965	49.65992
50	72.00483	70.93925	68.94353	NULL	97.72711	45.12106
60	67.47668	65.77764	63.57348	NULL	97.59493	42.90078
70	65.95965	64.20186	62.50694	NULL	97.76152	42.03819
80	68.55876	68.32601	67.72914	NULL	97.82279	42.23611
90	65.73687	65.38516	69.51755	NULL	97.52351	43.49278
100	62.34914	62.18509	67.17994	NULL	96.60966	41.00032
110	56.90075	56.10592	59.69060	NULL	95.86296	38.10204
120	59.26917	59.20086	57.59457	NULL	96.12244	33.75418
130	58.59876	58.80225	56.35467	NULL	95.85153	30.72916
140	59.38132	58.59963	56.95650	NULL	95.62749	28.85530
150	61.79433	60.49704	60.64982	NULL	94.58893	29.22869
160	65.05834	66.97533	66.89878	NULL	94.92273	31.47368
170	62.95875	65.86715	64.58974	NULL	94.86134	31.93580
180	56.17361	59.82881	55.78143	NULL	94.13440	26.94298
190	NULL	NULL	NULL	NULL	NULL	NULL
200	47.66984	47.63743	44.15597	NULL	91.94541	19.62274
210	43.21949	42.41158	39.11229	NULL	89.80430	15.12208
220	37.06920	36.03637	34.07210	NULL	88.87326	14.03644
230	35.22919	34.06645	31.64809	NULL	88.27186	12.72421
240	31.93047	30.86591	29.93752	NULL	87.29563	11.88315
250	33.99089	32.24648	30.79172	NULL	86.51224	10.98655
260	32.22642	30.59256	30.32819	NULL	85.73316	10.54598
270	33.09697	31.33850	31.03248	NULL	85.81863	10.08097
280	NULL	NULL	31.11156	NULL	NULL	9.29626
290	NULL	NULL	NULL	NULL	NULL	NULL
300	NULL	NULL	NULL	NULL	NULL	NULL

                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  5. Apply Monotonic Enforcement to Table: ACSBV3_aux_armor_curve                                                      ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:56:53                                                                                            0600C (v2.0)
                                                                                                                           
ItemLevelBracket	Major-Armor	Moderate-Armor	Minor-Armor	Accessory	Shield	Back
10	80.85332	74.84326	81.60721	0.00000	98.39229	60.77285
20	77.63742	74.84326	77.82669	0.00000	98.02635	57.91581
30	73.80260	74.82576	73.42560	0.00000	97.82279	50.23077
40	73.66288	72.23416	71.75123	0.00000	97.82279	49.65992
50	72.00483	70.93925	69.51755	0.00000	97.82279	45.12106
60	68.55876	68.32601	69.51755	0.00000	97.82279	43.49278
70	68.55876	68.32601	69.51755	0.00000	97.82279	43.49278
80	68.55876	68.32601	69.51755	0.00000	97.82279	43.49278
90	65.73687	66.97533	69.51755	0.00000	97.52351	43.49278
100	65.05834	66.97533	67.17994	0.00000	96.60966	41.00032
110	65.05834	66.97533	66.89878	0.00000	96.12244	38.10204
120	65.05834	66.97533	66.89878	0.00000	96.12244	33.75418
130	65.05834	66.97533	66.89878	0.00000	95.85153	31.93580
140	65.05834	66.97533	66.89878	0.00000	95.62749	31.93580
150	65.05834	66.97533	66.89878	0.00000	94.92273	31.93580
