
                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  1. Create and Populate Temporary Table: ACSBV3_temp_curve                                                            ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:56:54                                                                                            0601A (v1.0)
                                                                                                                           
COUNT(*)
156

                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  2. Create and Populate Table: ACSBV3_0601A_curve FROM ACSBV3_temp_curve ORDER BY slot_group, ItemLevelBracket        ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:56:54                                                                                            0601A (v1.0)
                                                                                                                           
slot_group	ItemLevelBracket	min_raw	min_3pnt	min_mono	max_raw	max_3pnt	max_mono	delay_raw	delay_3pnt	delay_mono	budget	budget_3pnt	budget_mono
1H-Weapon	10	10.07353	0.00000	0.00000	19.52941	0.00000	0.00000	1964.70588	0.00000	0.00000	8.25351	0.00000	0.00000
1H-Weapon	20	20.71134	0.00000	0.00000	39.23711	0.00000	0.00000	2186.59794	0.00000	0.00000	16.61388	0.00000	0.00000
1H-Weapon	30	29.76623	0.00000	0.00000	56.25974	0.00000	0.00000	2080.51948	0.00000	0.00000	24.20453	0.00000	0.00000
1H-Weapon	40	41.42373	0.00000	0.00000	77.54237	0.00000	0.00000	2066.10169	0.00000	0.00000	33.37898	0.00000	0.00000
1H-Weapon	50	52.78824	0.00000	0.00000	98.41176	0.00000	0.00000	2115.29412	0.00000	0.00000	40.63081	0.00000	0.00000
1H-Weapon	60	57.86239	0.00000	0.00000	109.33945	0.00000	0.00000	1995.41284	0.00000	0.00000	49.87680	0.00000	0.00000
1H-Weapon	70	83.57500	0.00000	0.00000	152.24688	0.00000	0.00000	2251.56250	0.00000	0.00000	67.41528	0.00000	0.00000
1H-Weapon	80	70.10909	0.00000	0.00000	134.76364	0.00000	0.00000	2049.09091	0.00000	0.00000	59.91602	0.00000	0.00000
1H-Weapon	90	71.34091	0.00000	0.00000	137.84091	0.00000	0.00000	2115.90909	0.00000	0.00000	59.94244	0.00000	0.00000
1H-Weapon	100	85.66667	0.00000	0.00000	169.79365	0.00000	0.00000	2093.65079	0.00000	0.00000	77.15414	0.00000	0.00000
1H-Weapon	110	89.28829	0.00000	0.00000	169.60360	0.00000	0.00000	2022.52252	0.00000	0.00000	91.91504	0.00000	0.00000
1H-Weapon	120	100.90909	0.00000	0.00000	199.33333	0.00000	0.00000	2033.33333	0.00000	0.00000	105.86028	0.00000	0.00000
1H-Weapon	130	113.07018	0.00000	0.00000	224.01754	0.00000	0.00000	2061.40351	0.00000	0.00000	129.61583	0.00000	0.00000
1H-Weapon	140	119.80769	0.00000	0.00000	230.09615	0.00000	0.00000	1976.92308	0.00000	0.00000	140.64263	0.00000	0.00000
1H-Weapon	150	119.91672	0.00000	0.00000	241.24459	0.00000	0.00000	2040.98361	0.00000	0.00000	142.94476	0.00000	0.00000
1H-Weapon	160	127.00000	0.00000	0.00000	242.78571	0.00000	0.00000	2007.14286	0.00000	0.00000	150.93747	0.00000	0.00000
1H-Weapon	170	130.55172	0.00000	0.00000	262.31034	0.00000	0.00000	2106.89655	0.00000	0.00000	168.25504	0.00000	0.00000
1H-Weapon	180	134.69565	0.00000	0.00000	262.52174	0.00000	0.00000	1939.13043	0.00000	0.00000	196.40742	0.00000	0.00000
1H-Weapon	200	176.72093	0.00000	0.00000	337.23256	0.00000	0.00000	2031.39535	0.00000	0.00000	285.60813	0.00000	0.00000
1H-Weapon	210	182.27869	0.00000	0.00000	355.39344	0.00000	0.00000	1911.47541	0.00000	0.00000	362.43337	0.00000	0.00000
1H-Weapon	220	213.00000	0.00000	0.00000	397.00000	0.00000	0.00000	2033.33333	0.00000	0.00000	293.15600	0.00000	0.00000
1H-Weapon	230	225.44944	0.00000	0.00000	424.02247	0.00000	0.00000	1953.93258	0.00000	0.00000	438.02747	0.00000	0.00000
1H-Weapon	240	225.89831	0.00000	0.00000	437.66102	0.00000	0.00000	1915.25424	0.00000	0.00000	522.95516	0.00000	0.00000
1H-Weapon	250	249.91228	0.00000	0.00000	488.15789	0.00000	0.00000	1963.15789	0.00000	0.00000	586.31500	0.00000	0.00000
1H-Weapon	260	278.41463	0.00000	0.00000	529.63415	0.00000	0.00000	1960.97561	0.00000	0.00000	582.45459	0.00000	0.00000
1H-Weapon	270	303.00000	0.00000	0.00000	574.40541	0.00000	0.00000	1959.45946	0.00000	0.00000	658.25663	0.00000	0.00000
1H-Weapon	280	296.00000	0.00000	0.00000	582.40000	0.00000	0.00000	1920.00000	0.00000	0.00000	833.26058	0.00000	0.00000
