
                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  1. Create and Populate Temporary Table: ACSBV3_temp_curve                                                            ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:56:56                                                                                            0601B (v1.0)
                                                                                                                           
COUNT(*)
27

                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  2. Create and Populate Table: ACSBV3_0601B_curve FROM ACSBV3_temp_curve ORDER BY slot_group, ItemLevelBracket        ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:56:56                                                                                            0601B (v1.0)
                                                                                                                           
slot_group	ItemLevelBracket	min_raw	min_3pnt	min_mono	max_raw	max_3pnt	max_mono	delay_raw	delay_3pnt	delay_mono	budget	budget_3pnt	budget_mono
1H-Weapon	10	10.55357	0.00000	0.00000	20.37500	0.00000	0.00000	1973.21429	0.00000	0.00000	8.72312	0.00000	0.00000
1H-Weapon	20	21.00000	0.00000	0.00000	39.75000	0.00000	0.00000	2173.80952	0.00000	0.00000	17.21923	0.00000	0.00000
1H-Weapon	30	30.12500	0.00000	0.00000	57.01563	0.00000	0.00000	2073.43750	0.00000	0.00000	25.01718	0.00000	0.00000
1H-Weapon	40	41.22642	0.00000	0.00000	77.09434	0.00000	0.00000	2028.30189	0.00000	0.00000	34.09550	0.00000	0.00000
1H-Weapon	50	52.96104	0.00000	0.00000	99.02597	0.00000	0.00000	2129.87013	0.00000	0.00000	40.71133	0.00000	0.00000
1H-Weapon	60	58.84416	0.00000	0.00000	110.01299	0.00000	0.00000	2018.18182	0.00000	0.00000	49.09540	0.00000	0.00000
1H-Weapon	70	90.56098	0.00000	0.00000	157.53659	0.00000	0.00000	2231.70732	0.00000	0.00000	69.95841	0.00000	0.00000
1H-Weapon	80	82.69697	0.00000	0.00000	150.00000	0.00000	0.00000	2169.69697	0.00000	0.00000	62.98256	0.00000	0.00000
1H-Weapon	90	79.42308	0.00000	0.00000	147.34615	0.00000	0.00000	2161.53846	0.00000	0.00000	63.60819	0.00000	0.00000
1H-Weapon	100	102.17500	0.00000	0.00000	185.77500	0.00000	0.00000	2135.00000	0.00000	0.00000	84.35783	0.00000	0.00000
1H-Weapon	110	106.92647	0.00000	0.00000	183.57353	0.00000	0.00000	2052.94118	0.00000	0.00000	98.14268	0.00000	0.00000
1H-Weapon	120	143.75000	0.00000	0.00000	249.56250	0.00000	0.00000	2325.00000	0.00000	0.00000	109.64549	0.00000	0.00000
1H-Weapon	130	144.78125	0.00000	0.00000	262.96875	0.00000	0.00000	2265.62500	0.00000	0.00000	116.07075	0.00000	0.00000
1H-Weapon	140	148.80000	0.00000	0.00000	259.64000	0.00000	0.00000	2116.00000	0.00000	0.00000	134.45435	0.00000	0.00000
1H-Weapon	150	156.92593	0.00000	0.00000	283.25926	0.00000	0.00000	2266.66667	0.00000	0.00000	120.98304	0.00000	0.00000
