
                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  1. Create and Populate Temporary Table: ACSBV3_temp_curve                                                            ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:57:00                                                                                            0601C (v1.0)
                                                                                                                           
COUNT(*)
27

                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  2. Create and Populate Table: ACSBV3_0601C_curve FROM ACSBV3_temp_curve ORDER BY slot_group, ItemLevelBracket        ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:57:00                                                                                            0601C (v1.0)
                                                                                                                           
slot_group	ItemLevelBracket	min_raw	min_3pnt	min_mono	max_raw	max_3pnt	max_mono	delay_raw	delay_3pnt	delay_mono	budget	budget_3pnt	budget_mono
1H-Weapon	10	8.00000	0.00000	0.00000	15.81818	0.00000	0.00000	1972.72727	0.00000	0.00000	5.99621	0.00000	0.00000
1H-Weapon	20	19.41667	0.00000	0.00000	37.00000	0.00000	0.00000	2333.33333	0.00000	0.00000	12.78873	0.00000	0.00000
1H-Weapon	30	28.83333	0.00000	0.00000	54.08333	0.00000	0.00000	2166.66667	0.00000	0.00000	20.44295	0.00000	0.00000
1H-Weapon	40	43.16667	0.00000	0.00000	81.50000	0.00000	0.00000	2400.00000	0.00000	0.00000	27.04976	0.00000	0.00000
1H-Weapon	50	52.83333	0.00000	0.00000	94.66667	0.00000	0.00000	2033.33333	0.00000	0.00000	40.91881	0.00000	0.00000
1H-Weapon	60	56.77778	0.00000	0.00000	111.18519	0.00000	0.00000	2011.11111	0.00000	0.00000	51.71578	0.00000	0.00000
1H-Weapon	70	64.75238	0.00000	0.00000	136.70476	0.00000	0.00000	2228.57143	0.00000	0.00000	62.53893	0.00000	0.00000
1H-Weapon	80	48.45000	0.00000	0.00000	108.35000	0.00000	0.00000	1850.00000	0.00000	0.00000	54.57602	0.00000	0.00000
1H-Weapon	90	56.06250	0.00000	0.00000	118.93750	0.00000	0.00000	1981.25000	0.00000	0.00000	55.37262	0.00000	0.00000
1H-Weapon	100	54.66667	0.00000	0.00000	141.14286	0.00000	0.00000	2014.28571	0.00000	0.00000	64.74530	0.00000	0.00000
1H-Weapon	110	57.18421	0.00000	0.00000	143.94737	0.00000	0.00000	1994.73684	0.00000	0.00000	77.76595	0.00000	0.00000
1H-Weapon	120	40.27273	0.00000	0.00000	135.18182	0.00000	0.00000	1809.09091	0.00000	0.00000	88.47636	0.00000	0.00000
1H-Weapon	130	54.58824	0.00000	0.00000	158.94118	0.00000	0.00000	1870.58824	0.00000	0.00000	143.92743	0.00000	0.00000
1H-Weapon	140	59.07143	0.00000	0.00000	170.28571	0.00000	0.00000	1907.14286	0.00000	0.00000	133.89609	0.00000	0.00000
1H-Weapon	150	60.32952	0.00000	0.00000	175.80571	0.00000	0.00000	1866.66667	0.00000	0.00000	155.16696	0.00000	0.00000
1H-Weapon	160	63.42857	0.00000	0.00000	172.42857	0.00000	0.00000	1857.14286	0.00000	0.00000	198.61562	0.00000	0.00000
1H-Weapon	170	49.44444	0.00000	0.00000	157.88889	0.00000	0.00000	1700.00000	0.00000	0.00000	281.18753	0.00000	0.00000
1H-Weapon	180	64.66667	0.00000	0.00000	199.83333	0.00000	0.00000	1933.33333	0.00000	0.00000	289.13631	0.00000	0.00000
1H-Weapon	200	122.00000	0.00000	0.00000	294.96154	0.00000	0.00000	2065.38462	0.00000	0.00000	368.28857	0.00000	0.00000
1H-Weapon	210	104.50000	0.00000	0.00000	277.00000	0.00000	0.00000	1880.00000	0.00000	0.00000	475.27172	0.00000	0.00000
1H-Weapon	220	176.00000	0.00000	0.00000	358.33333	0.00000	0.00000	2066.66667	0.00000	0.00000	262.14131	0.00000	0.00000
1H-Weapon	230	156.68000	0.00000	0.00000	358.96000	0.00000	0.00000	1996.00000	0.00000	0.00000	660.00779	0.00000	0.00000
1H-Weapon	240	136.42857	0.00000	0.00000	348.14286	0.00000	0.00000	1871.42857	0.00000	0.00000	779.92732	0.00000	0.00000
1H-Weapon	250	155.00000	0.00000	0.00000	392.50000	0.00000	0.00000	1945.00000	0.00000	0.00000	861.86703	0.00000	0.00000
1H-Weapon	260	193.69231	0.00000	0.00000	444.38462	0.00000	0.00000	1969.23077	0.00000	0.00000	861.29643	0.00000	0.00000
1H-Weapon	270	217.30769	0.00000	0.00000	488.84615	0.00000	0.00000	1969.23077	0.00000	0.00000	955.03316	0.00000	0.00000
1H-Weapon	280	161.00000	0.00000	0.00000	447.00000	0.00000	0.00000	1800.00000	0.00000	0.00000	1242.13889	0.00000	0.00000

                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  3. Apply 3-Point Smoothing Window to Table: ACSBV3_0601C_curve                                                       ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:57:02                                                                                            0601C (v1.0)
                                                                                                                           
slot_group	ItemLevelBracket	min_raw	min_3pnt	min_mono	max_raw	max_3pnt	max_mono	delay_raw	delay_3pnt	delay_mono	budget	budget_3pnt	budget_mono
1H-Weapon	10	8.00000	13.70834	0.00000	15.81818	26.40909	0.00000	1972.72727	2153.03030	0.00000	5.99621	9.39247	0.00000
1H-Weapon	20	19.41667	18.75000	0.00000	37.00000	35.63384	0.00000	2333.33333	2157.57576	0.00000	12.78873	13.07596	0.00000
1H-Weapon	30	28.83333	30.47222	0.00000	54.08333	57.52778	0.00000	2166.66667	2300.00000	0.00000	20.44295	20.09381	0.00000
1H-Weapon	40	43.16667	41.61111	0.00000	81.50000	76.75000	0.00000	2400.00000	2200.00000	0.00000	27.04976	29.47051	0.00000
1H-Weapon	50	52.83333	50.92593	0.00000	94.66667	95.78395	0.00000	2033.33333	2148.14815	0.00000	40.91881	39.89478	0.00000
1H-Weapon	60	56.77778	58.12116	0.00000	111.18519	114.18554	0.00000	2011.11111	2091.00529	0.00000	51.71578	51.72451	0.00000
1H-Weapon	70	64.75238	56.66005	0.00000	136.70476	118.74665	0.00000	2228.57143	2029.89418	0.00000	62.53893	56.27691	0.00000
1H-Weapon	80	48.45000	56.42163	0.00000	108.35000	121.33075	0.00000	1850.00000	2019.94048	0.00000	54.57602	57.49586	0.00000
1H-Weapon	90	56.06250	53.05972	0.00000	118.93750	122.81012	0.00000	1981.25000	1948.51190	0.00000	55.37262	58.23131	0.00000
1H-Weapon	100	54.66667	55.97113	0.00000	141.14286	134.67591	0.00000	2014.28571	1996.75752	0.00000	64.74530	65.96129	0.00000
1H-Weapon	110	57.18421	50.70787	0.00000	143.94737	140.09068	0.00000	1994.73684	1939.37115	0.00000	77.76595	76.99587	0.00000
1H-Weapon	120	40.27273	50.68173	0.00000	135.18182	146.02346	0.00000	1809.09091	1891.47200	0.00000	88.47636	103.38991	0.00000
1H-Weapon	130	54.58824	51.31080	0.00000	158.94118	154.80290	0.00000	1870.58824	1862.27400	0.00000	143.92743	122.09996	0.00000
1H-Weapon	140	59.07143	57.99640	0.00000	170.28571	168.34420	0.00000	1907.14286	1881.46592	0.00000	133.89609	144.33016	0.00000
1H-Weapon	150	60.32952	60.94317	0.00000	175.80571	172.84000	0.00000	1866.66667	1876.98413	0.00000	155.16696	162.55956	0.00000
1H-Weapon	160	63.42857	57.73418	0.00000	172.42857	168.70772	0.00000	1857.14286	1807.93651	0.00000	198.61562	211.65670	0.00000
1H-Weapon	170	49.44444	59.17989	0.00000	157.88889	176.71693	0.00000	1700.00000	1830.15873	0.00000	281.18753	256.31315	0.00000
1H-Weapon	180	64.66667	78.70370	0.00000	199.83333	217.56125	0.00000	1933.33333	1899.57265	0.00000	289.13631	312.87080	0.00000
1H-Weapon	200	122.00000	97.05556	0.00000	294.96154	257.26496	0.00000	2065.38462	1959.57265	0.00000	368.28857	377.56553	0.00000
1H-Weapon	210	104.50000	134.16667	0.00000	277.00000	310.09829	0.00000	1880.00000	2004.01710	0.00000	475.27172	368.56720	0.00000
1H-Weapon	220	176.00000	145.72667	0.00000	358.33333	331.43111	0.00000	2066.66667	1980.88889	0.00000	262.14131	465.80694	0.00000
1H-Weapon	230	156.68000	156.36952	0.00000	358.96000	355.14540	0.00000	1996.00000	1978.03175	0.00000	660.00779	567.35881	0.00000
1H-Weapon	240	136.42857	149.36952	0.00000	348.14286	366.53429	0.00000	1871.42857	1937.47619	0.00000	779.92732	767.26738	0.00000
1H-Weapon	250	155.00000	161.70696	0.00000	392.50000	395.00916	0.00000	1945.00000	1928.55311	0.00000	861.86703	834.36359	0.00000
1H-Weapon	260	193.69231	188.66667	0.00000	444.38462	441.91026	0.00000	1969.23077	1961.15385	0.00000	861.29643	892.73221	0.00000
1H-Weapon	270	217.30769	190.66667	0.00000	488.84615	460.07692	0.00000	1969.23077	1912.82051	0.00000	955.03316	1019.48949	0.00000
1H-Weapon	280	161.00000	189.15385	0.00000	447.00000	467.92308	0.00000	1800.00000	1884.61539	0.00000	1242.13889	1098.58603	0.00000

                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  4. Apply Monotonic Enforcement to Table: ACSBV3_0601C_curve                                                          ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:57:03                                                                                            0601C (v1.0)
                                                                                                                           
slot_group	ItemLevelBracket	min_raw	min_3pnt	min_mono	max_raw	max_3pnt	max_mono	delay_raw	delay_3pnt	delay_mono	budget	budget_3pnt	budget_mono
1H-Weapon	10	8.00000	13.70834	13.70834	15.81818	26.40909	26.40909	1972.72727	2153.03030	2153.03030	5.99621	9.39247	9.39247
1H-Weapon	20	19.41667	18.75000	18.75000	37.00000	35.63384	35.63384	2333.33333	2157.57576	2157.57576	12.78873	13.07596	13.07596
1H-Weapon	30	28.83333	30.47222	30.47222	54.08333	57.52778	57.52778	2166.66667	2300.00000	2300.00000	20.44295	20.09381	20.09381
1H-Weapon	40	43.16667	41.61111	41.61111	81.50000	76.75000	76.75000	2400.00000	2200.00000	2200.00000	27.04976	29.47051	29.47051
1H-Weapon	50	52.83333	50.92593	50.92593	94.66667	95.78395	95.78395	2033.33333	2148.14815	2148.14815	40.91881	39.89478	39.89478
1H-Weapon	60	56.77778	58.12116	58.12116	111.18519	114.18554	114.18554	2011.11111	2091.00529	2091.00529	51.71578	51.72451	51.72451
1H-Weapon	70	64.75238	56.66005	58.12116	136.70476	118.74665	118.74665	2228.57143	2029.89418	2029.89418	62.53893	56.27691	56.27691
1H-Weapon	80	48.45000	56.42163	58.12116	108.35000	121.33075	121.33075	1850.00000	2019.94048	2019.94048	54.57602	57.49586	57.49586
1H-Weapon	90	56.06250	53.05972	58.12116	118.93750	122.81012	122.81012	1981.25000	1948.51190	1948.51190	55.37262	58.23131	58.23131
1H-Weapon	100	54.66667	55.97113	58.12116	141.14286	134.67591	134.67591	2014.28571	1996.75752	1996.75752	64.74530	65.96129	65.96129
1H-Weapon	110	57.18421	50.70787	58.12116	143.94737	140.09068	140.09068	1994.73684	1939.37115	1939.37115	77.76595	76.99587	76.99587
1H-Weapon	120	40.27273	50.68173	58.12116	135.18182	146.02346	146.02346	1809.09091	1891.47200	1891.47200	88.47636	103.38991	103.38991
1H-Weapon	130	54.58824	51.31080	58.12116	158.94118	154.80290	154.80290	1870.58824	1862.27400	1862.27400	143.92743	122.09996	122.09996
1H-Weapon	140	59.07143	57.99640	58.12116	170.28571	168.34420	168.34420	1907.14286	1881.46592	1881.46592	133.89609	144.33016	144.33016
1H-Weapon	150	60.32952	60.94317	60.94317	175.80571	172.84000	172.84000	1866.66667	1876.98413	1876.98413	155.16696	162.55956	162.55956
1H-Weapon	160	63.42857	57.73418	60.94317	172.42857	168.70772	172.84000	1857.14286	1807.93651	1807.93651	198.61562	211.65670	211.65670
1H-Weapon	170	49.44444	59.17989	60.94317	157.88889	176.71693	176.71693	1700.00000	1830.15873	1830.15873	281.18753	256.31315	256.31315
1H-Weapon	180	64.66667	78.70370	78.70370	199.83333	217.56125	217.56125	1933.33333	1899.57265	1899.57265	289.13631	312.87080	312.87080
1H-Weapon	200	122.00000	97.05556	97.05556	294.96154	257.26496	257.26496	2065.38462	1959.57265	1959.57265	368.28857	377.56553	377.56553
1H-Weapon	210	104.50000	134.16667	134.16667	277.00000	310.09829	310.09829	1880.00000	2004.01710	2004.01710	475.27172	368.56720	377.56553
1H-Weapon	220	176.00000	145.72667	145.72667	358.33333	331.43111	331.43111	2066.66667	1980.88889	1980.88889	262.14131	465.80694	465.80694
1H-Weapon	230	156.68000	156.36952	156.36952	358.96000	355.14540	355.14540	1996.00000	1978.03175	1978.03175	660.00779	567.35881	567.35881
1H-Weapon	240	136.42857	149.36952	156.36952	348.14286	366.53429	366.53429	1871.42857	1937.47619	1937.47619	779.92732	767.26738	767.26738
1H-Weapon	250	155.00000	161.70696	161.70696	392.50000	395.00916	395.00916	1945.00000	1928.55311	1928.55311	861.86703	834.36359	834.36359
1H-Weapon	260	193.69231	188.66667	188.66667	444.38462	441.91026	441.91026	1969.23077	1961.15385	1961.15385	861.29643	892.73221	892.73221
1H-Weapon	270	217.30769	190.66667	190.66667	488.84615	460.07692	460.07692	1969.23077	1912.82051	1912.82051	955.03316	1019.48949	1019.48949
1H-Weapon	280	161.00000	189.15385	190.66667	447.00000	467.92308	467.92308	1800.00000	1884.61539	1884.61539	1242.13889	1098.58603	1098.58603

ACSBV3-06-01C.sql Complete: Part 3 of 5. Please run ACSBV3-06-01D.sql next...

                                                                                                                           
2025-12-19 18:57:04                                                                                            0601C (v1.0)
###########################################################################################################################
##  END PRINT OUT                                                                                                        ##
###########################################################################################################################
                                                                                                                           
                                                                                                                           
