
                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  1. Create and Populate Temporary Table: ACSBV3_temp_curve                                                            ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:57:04                                                                                            0601D (v1.0)
                                                                                                                           
COUNT(*)
22

                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  2. Create and Populate Table: ACSBV3_0601D_curve FROM ACSBV3_temp_curve ORDER BY slot_group, ItemLevelBracket        ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:57:04                                                                                            0601D (v1.0)
                                                                                                                           
slot_group	ItemLevelBracket	min_raw	min_3pnt	min_mono	max_raw	max_3pnt	max_mono	delay_raw	delay_3pnt	delay_mono	budget	budget_3pnt	budget_mono
1H-Weapon	10	6.00000	0.00000	0.00000	13.00000	0.00000	0.00000	1400.00000	0.00000	0.00000	6.78571	0.00000	0.00000
1H-Weapon	20	12.00000	0.00000	0.00000	23.00000	0.00000	0.00000	1500.00000	0.00000	0.00000	11.66667	0.00000	0.00000
1H-Weapon	30	18.00000	0.00000	0.00000	34.00000	0.00000	0.00000	1500.00000	0.00000	0.00000	17.33333	0.00000	0.00000
1H-Weapon	50	46.00000	0.00000	0.00000	86.00000	0.00000	0.00000	1800.00000	0.00000	0.00000	36.66667	0.00000	0.00000
1H-Weapon	60	48.60000	0.00000	0.00000	89.00000	0.00000	0.00000	1560.00000	0.00000	0.00000	51.97986	0.00000	0.00000
1H-Weapon	70	138.00000	0.00000	0.00000	207.00000	0.00000	0.00000	2900.00000	0.00000	0.00000	66.48276	0.00000	0.00000
1H-Weapon	80	79.00000	0.00000	0.00000	147.50000	0.00000	0.00000	2050.00000	0.00000	0.00000	62.71795	0.00000	0.00000
1H-Weapon	90	88.50000	0.00000	0.00000	165.50000	0.00000	0.00000	2600.00000	0.00000	0.00000	48.84616	0.00000	0.00000
1H-Weapon	100	81.00000	0.00000	0.00000	151.00000	0.00000	0.00000	2100.00000	0.00000	0.00000	63.37308	0.00000	0.00000
1H-Weapon	110	93.40000	0.00000	0.00000	174.60000	0.00000	0.00000	1820.00000	0.00000	0.00000	114.75225	0.00000	0.00000
