
                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  1. Create and Populate Temporary Table: ACSBV3_temp_curve                                                            ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:57:25                                                                                            0602A (v1.0)
                                                                                                                           
COUNT(*)
131

                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  2. Create and Populate Table: ACSBV3_0602A_curve FROM ACSBV3_temp_curve ORDER BY slot_group, ItemLevelBracket        ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:57:25                                                                                            0602A (v1.0)
                                                                                                                           
slot_group	ItemLevelBracket	armor_raw	armor_3pnt	armor_mono	budget_raw	budget_3pnt	budget_mono
Back	10	13.30000	0.00000	0.00000	3.77600	0.00000	0.00000
Back	20	19.31250	0.00000	0.00000	7.55859	0.00000	0.00000
Back	30	25.21818	0.00000	0.00000	9.66182	0.00000	0.00000
Back	40	29.70909	0.00000	0.00000	12.53818	0.00000	0.00000
Back	50	41.01613	0.00000	0.00000	16.60968	0.00000	0.00000
Back	60	54.58730	0.00000	0.00000	28.29444	0.00000	0.00000
Back	70	79.10526	0.00000	0.00000	38.84474	0.00000	0.00000
Back	80	73.25000	0.00000	0.00000	31.30313	0.00000	0.00000
Back	90	74.20000	0.00000	0.00000	37.87750	0.00000	0.00000
Back	100	90.66667	0.00000	0.00000	40.75000	0.00000	0.00000
Back	110	112.26923	0.00000	0.00000	57.10096	0.00000	0.00000
Back	120	116.00000	0.00000	0.00000	76.10526	0.00000	0.00000
Back	130	106.08333	0.00000	0.00000	67.45000	0.00000	0.00000
Back	140	110.11111	0.00000	0.00000	72.80556	0.00000	0.00000
Back	150	117.00000	0.00000	0.00000	94.11765	0.00000	0.00000
Back	160	152.00000	0.00000	0.00000	93.32143	0.00000	0.00000
Back	170	120.33333	0.00000	0.00000	65.07500	0.00000	0.00000
Back	180	173.40000	0.00000	0.00000	132.12000	0.00000	0.00000
Back	200	159.36667	0.00000	0.00000	176.44500	0.00000	0.00000
Back	210	164.93750	0.00000	0.00000	219.59063	0.00000	0.00000
Back	220	157.00000	0.00000	0.00000	246.33500	0.00000	0.00000
Back	230	201.33333	0.00000	0.00000	280.79583	0.00000	0.00000
Back	240	166.00000	0.00000	0.00000	299.48864	0.00000	0.00000
Back	250	172.20690	0.00000	0.00000	317.79483	0.00000	0.00000
Back	260	202.45455	0.00000	0.00000	347.55000	0.00000	0.00000
Back	270	182.76471	0.00000	0.00000	374.37059	0.00000	0.00000
Back	280	189.00000	0.00000	0.00000	428.15000	0.00000	0.00000
Major-Armor	10	64.33803	0.00000	0.00000	14.85317	0.00000	0.00000
Major-Armor	20	87.88608	0.00000	0.00000	23.37215	0.00000	0.00000
Major-Armor	30	106.61224	0.00000	0.00000	29.94490	0.00000	0.00000
Major-Armor	40	174.28834	0.00000	0.00000	46.25276	0.00000	0.00000
Major-Armor	50	227.28505	0.00000	0.00000	60.78224	0.00000	0.00000
Major-Armor	60	293.27019	0.00000	0.00000	88.48789	0.00000	0.00000
Major-Armor	70	406.39175	0.00000	0.00000	131.05258	0.00000	0.00000
Major-Armor	80	425.84337	0.00000	0.00000	121.26145	0.00000	0.00000
Major-Armor	90	445.35714	0.00000	0.00000	118.15857	0.00000	0.00000
Major-Armor	100	467.67500	0.00000	0.00000	134.91838	0.00000	0.00000
Major-Armor	110	531.80952	0.00000	0.00000	176.54432	0.00000	0.00000
Major-Armor	120	685.54930	0.00000	0.00000	236.74120	0.00000	0.00000
Major-Armor	130	741.37288	0.00000	0.00000	244.25466	0.00000	0.00000
Major-Armor	140	819.85211	0.00000	0.00000	281.11472	0.00000	0.00000
Major-Armor	150	868.08772	0.00000	0.00000	289.21184	0.00000	0.00000
Major-Armor	160	914.42105	0.00000	0.00000	271.78289	0.00000	0.00000
Major-Armor	170	866.08696	0.00000	0.00000	255.28261	0.00000	0.00000
Major-Armor	180	1006.46154	0.00000	0.00000	374.61923	0.00000	0.00000
Major-Armor	200	1096.13913	0.00000	0.00000	464.67039	0.00000	0.00000
Major-Armor	210	1170.02347	0.00000	0.00000	551.24657	0.00000	0.00000
Major-Armor	220	1243.61765	0.00000	0.00000	615.93480	0.00000	0.00000
Major-Armor	230	1198.06040	0.00000	0.00000	642.89161	0.00000	0.00000
Major-Armor	240	1307.23944	0.00000	0.00000	710.03451	0.00000	0.00000
Major-Armor	250	1319.04878	0.00000	0.00000	764.57146	0.00000	0.00000
Major-Armor	260	1446.61290	0.00000	0.00000	834.61237	0.00000	0.00000
Major-Armor	270	1417.64368	0.00000	0.00000	899.27931	0.00000	0.00000
Minor-Armor	10	42.80000	0.00000	0.00000	9.60348	0.00000	0.00000
Minor-Armor	20	57.08607	0.00000	0.00000	15.35082	0.00000	0.00000
Minor-Armor	30	75.17490	0.00000	0.00000	21.39734	0.00000	0.00000
Minor-Armor	40	128.17666	0.00000	0.00000	33.51199	0.00000	0.00000
Minor-Armor	50	153.98829	0.00000	0.00000	44.51956	0.00000	0.00000
Minor-Armor	60	188.34304	0.00000	0.00000	60.85634	0.00000	0.00000
Minor-Armor	70	277.42286	0.00000	0.00000	92.93886	0.00000	0.00000
Minor-Armor	80	263.02963	0.00000	0.00000	77.96341	0.00000	0.00000
Minor-Armor	90	262.33103	0.00000	0.00000	67.39103	0.00000	0.00000
Minor-Armor	100	305.81197	0.00000	0.00000	83.16778	0.00000	0.00000
Minor-Armor	110	339.60309	0.00000	0.00000	114.72559	0.00000	0.00000
Minor-Armor	120	467.45868	0.00000	0.00000	169.36789	0.00000	0.00000
Minor-Armor	130	449.59459	0.00000	0.00000	150.89135	0.00000	0.00000
Minor-Armor	140	508.87081	0.00000	0.00000	183.08665	0.00000	0.00000
Minor-Armor	150	529.28641	0.00000	0.00000	186.21563	0.00000	0.00000
Minor-Armor	160	483.15254	0.00000	0.00000	138.32576	0.00000	0.00000
Minor-Armor	170	507.64865	0.00000	0.00000	137.21622	0.00000	0.00000
Minor-Armor	180	597.60417	0.00000	0.00000	239.42708	0.00000	0.00000
Minor-Armor	200	699.51282	0.00000	0.00000	317.01731	0.00000	0.00000
Minor-Armor	210	719.52852	0.00000	0.00000	367.89335	0.00000	0.00000
Minor-Armor	220	730.39286	0.00000	0.00000	419.90536	0.00000	0.00000
Minor-Armor	230	754.62406	0.00000	0.00000	447.42406	0.00000	0.00000
Minor-Armor	240	743.62434	0.00000	0.00000	467.04048	0.00000	0.00000
Minor-Armor	250	853.72222	0.00000	0.00000	528.70528	0.00000	0.00000
Minor-Armor	260	870.27097	0.00000	0.00000	563.75097	0.00000	0.00000
Minor-Armor	270	958.22619	0.00000	0.00000	629.30417	0.00000	0.00000
