
                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  1. Create and Populate Temporary Table: ACSBV3_temp_curve                                                            ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:57:28                                                                                            0602B (v1.0)
                                                                                                                           
COUNT(*)
105

                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  2. Create and Populate Table: ACSBV3_0602B_curve FROM ACSBV3_temp_curve ORDER BY slot_group, ItemLevelBracket        ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:57:28                                                                                            0602B (v1.0)
                                                                                                                           
slot_group	ItemLevelBracket	armor_raw	armor_3pnt	armor_mono	budget_raw	budget_3pnt	budget_mono
Back	10	13.30000	0.00000	0.00000	3.77600	0.00000	0.00000
Back	20	19.31250	0.00000	0.00000	7.55859	0.00000	0.00000
Back	30	25.21818	0.00000	0.00000	9.66182	0.00000	0.00000
Back	40	29.70909	0.00000	0.00000	12.53818	0.00000	0.00000
Back	50	41.01613	0.00000	0.00000	16.60968	0.00000	0.00000
Back	60	54.58730	0.00000	0.00000	28.29444	0.00000	0.00000
Back	70	79.10526	0.00000	0.00000	38.84474	0.00000	0.00000
Back	80	73.25000	0.00000	0.00000	31.30313	0.00000	0.00000
Back	90	74.20000	0.00000	0.00000	37.87750	0.00000	0.00000
Back	100	90.66667	0.00000	0.00000	40.75000	0.00000	0.00000
Back	110	112.26923	0.00000	0.00000	57.10096	0.00000	0.00000
Back	120	116.00000	0.00000	0.00000	76.10526	0.00000	0.00000
Back	130	106.08333	0.00000	0.00000	67.45000	0.00000	0.00000
Back	140	110.11111	0.00000	0.00000	72.80556	0.00000	0.00000
Back	150	117.00000	0.00000	0.00000	94.11765	0.00000	0.00000
Back	160	152.00000	0.00000	0.00000	93.32143	0.00000	0.00000
Back	170	120.33333	0.00000	0.00000	65.07500	0.00000	0.00000
Back	180	173.40000	0.00000	0.00000	132.12000	0.00000	0.00000
Back	200	159.36667	0.00000	0.00000	176.44500	0.00000	0.00000
Back	210	164.93750	0.00000	0.00000	219.59063	0.00000	0.00000
Back	220	157.00000	0.00000	0.00000	246.33500	0.00000	0.00000
Back	230	201.33333	0.00000	0.00000	280.79583	0.00000	0.00000
Back	240	166.00000	0.00000	0.00000	299.48864	0.00000	0.00000
Back	250	172.20690	0.00000	0.00000	317.79483	0.00000	0.00000
Back	260	202.45455	0.00000	0.00000	347.55000	0.00000	0.00000
Back	270	182.76471	0.00000	0.00000	374.37059	0.00000	0.00000
Back	280	189.00000	0.00000	0.00000	428.15000	0.00000	0.00000
Major-Armor	10	25.16949	0.00000	0.00000	6.91864	0.00000	0.00000
Major-Armor	20	37.10769	0.00000	0.00000	12.93692	0.00000	0.00000
Major-Armor	30	45.03333	0.00000	0.00000	16.47583	0.00000	0.00000
Major-Armor	40	56.29310	0.00000	0.00000	21.51552	0.00000	0.00000
Major-Armor	50	68.32353	0.00000	0.00000	25.24265	0.00000	0.00000
Major-Armor	60	95.50926	0.00000	0.00000	46.09722	0.00000	0.00000
Major-Armor	70	141.43750	0.00000	0.00000	70.98125	0.00000	0.00000
Major-Armor	80	139.41667	0.00000	0.00000	60.00833	0.00000	0.00000
Major-Armor	90	121.62500	0.00000	0.00000	48.20000	0.00000	0.00000
Major-Armor	100	139.59091	0.00000	0.00000	62.20773	0.00000	0.00000
Major-Armor	110	150.05333	0.00000	0.00000	94.56000	0.00000	0.00000
Major-Armor	120	190.97436	0.00000	0.00000	129.24615	0.00000	0.00000
Major-Armor	130	257.50000	0.00000	0.00000	135.06071	0.00000	0.00000
Major-Armor	140	277.70588	0.00000	0.00000	158.37059	0.00000	0.00000
Major-Armor	150	298.76667	0.00000	0.00000	162.04167	0.00000	0.00000
Major-Armor	160	209.16667	0.00000	0.00000	105.50000	0.00000	0.00000
Major-Armor	170	218.70000	0.00000	0.00000	107.73500	0.00000	0.00000
Major-Armor	180	250.54545	0.00000	0.00000	215.69091	0.00000	0.00000
Major-Armor	200	278.62264	0.00000	0.00000	285.98396	0.00000	0.00000
Major-Armor	210	293.06522	0.00000	0.00000	374.64674	0.00000	0.00000
Major-Armor	220	291.71429	0.00000	0.00000	432.21905	0.00000	0.00000
Major-Armor	230	297.67647	0.00000	0.00000	475.45147	0.00000	0.00000
Major-Armor	240	313.06250	0.00000	0.00000	526.58438	0.00000	0.00000
Major-Armor	250	321.21739	0.00000	0.00000	575.66957	0.00000	0.00000
Major-Armor	260	332.68421	0.00000	0.00000	624.42895	0.00000	0.00000
Major-Armor	270	344.05263	0.00000	0.00000	692.93421	0.00000	0.00000
Minor-Armor	10	14.73333	0.00000	0.00000	3.88400	0.00000	0.00000
Minor-Armor	20	22.82927	0.00000	0.00000	8.06341	0.00000	0.00000
Minor-Armor	30	30.34211	0.00000	0.00000	10.82895	0.00000	0.00000
Minor-Armor	40	38.29333	0.00000	0.00000	13.51200	0.00000	0.00000
Minor-Armor	50	46.14912	0.00000	0.00000	21.72018	0.00000	0.00000
Minor-Armor	60	60.71324	0.00000	0.00000	33.90147	0.00000	0.00000
Minor-Armor	70	89.00000	0.00000	0.00000	50.57885	0.00000	0.00000
Minor-Armor	80	74.16667	0.00000	0.00000	38.11028	0.00000	0.00000
Minor-Armor	90	71.05405	0.00000	0.00000	28.01757	0.00000	0.00000
Minor-Armor	100	86.46875	0.00000	0.00000	35.27563	0.00000	0.00000
Minor-Armor	110	96.04808	0.00000	0.00000	63.05548	0.00000	0.00000
Minor-Armor	120	121.66667	0.00000	0.00000	93.36759	0.00000	0.00000
Minor-Armor	130	135.45946	0.00000	0.00000	82.14054	0.00000	0.00000
Minor-Armor	140	161.40000	0.00000	0.00000	101.07556	0.00000	0.00000
Minor-Armor	150	166.90909	0.00000	0.00000	104.87841	0.00000	0.00000
Minor-Armor	160	137.77778	0.00000	0.00000	73.17500	0.00000	0.00000
Minor-Armor	170	127.52941	0.00000	0.00000	53.33529	0.00000	0.00000
Minor-Armor	180	154.82609	0.00000	0.00000	147.85217	0.00000	0.00000
Minor-Armor	200	174.84286	0.00000	0.00000	206.09714	0.00000	0.00000
Minor-Armor	210	181.82456	0.00000	0.00000	254.93684	0.00000	0.00000
Minor-Armor	220	185.17647	0.00000	0.00000	318.14559	0.00000	0.00000
Minor-Armor	230	192.02857	0.00000	0.00000	345.70571	0.00000	0.00000
Minor-Armor	240	189.85106	0.00000	0.00000	367.99787	0.00000	0.00000
Minor-Armor	250	202.59524	0.00000	0.00000	409.06667	0.00000	0.00000
Minor-Armor	260	206.76471	0.00000	0.00000	439.97794	0.00000	0.00000
Minor-Armor	270	214.23529	0.00000	0.00000	489.76176	0.00000	0.00000
