
                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  1. Create and Populate Temporary Table: ACSBV3_temp_curve                                                            ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:57:30                                                                                            0602C (v1.0)
                                                                                                                           
COUNT(*)
78

                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  2. Create and Populate Table: ACSBV3_0602C_curve FROM ACSBV3_temp_curve ORDER BY slot_group, ItemLevelBracket        ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:57:31                                                                                            0602C (v1.0)
                                                                                                                           
slot_group	ItemLevelBracket	armor_raw	armor_3pnt	armor_mono	budget_raw	budget_3pnt	budget_mono
Major-Armor	10	62.00000	0.00000	0.00000	14.52283	0.00000	0.00000
Major-Armor	20	78.31373	0.00000	0.00000	21.65000	0.00000	0.00000
Major-Armor	30	95.69565	0.00000	0.00000	28.89674	0.00000	0.00000
Major-Armor	40	113.80556	0.00000	0.00000	35.61250	0.00000	0.00000
Major-Armor	50	141.27273	0.00000	0.00000	45.60727	0.00000	0.00000
Major-Armor	60	177.28000	0.00000	0.00000	66.73200	0.00000	0.00000
Major-Armor	70	253.47619	0.00000	0.00000	102.19524	0.00000	0.00000
Major-Armor	80	237.31579	0.00000	0.00000	86.87105	0.00000	0.00000
Major-Armor	90	223.47368	0.00000	0.00000	80.04474	0.00000	0.00000
Major-Armor	100	249.31579	0.00000	0.00000	94.81316	0.00000	0.00000
Major-Armor	110	288.85714	0.00000	0.00000	125.80143	0.00000	0.00000
Major-Armor	120	378.14706	0.00000	0.00000	169.45588	0.00000	0.00000
Major-Armor	130	379.13333	0.00000	0.00000	171.70167	0.00000	0.00000
Major-Armor	140	412.82857	0.00000	0.00000	200.79571	0.00000	0.00000
Major-Armor	150	449.06897	0.00000	0.00000	201.51034	0.00000	0.00000
Major-Armor	160	407.20000	0.00000	0.00000	153.57000	0.00000	0.00000
Major-Armor	170	416.18182	0.00000	0.00000	176.39545	0.00000	0.00000
Major-Armor	180	475.41667	0.00000	0.00000	272.70833	0.00000	0.00000
Major-Armor	200	517.98113	0.00000	0.00000	350.27925	0.00000	0.00000
Major-Armor	210	548.01961	0.00000	0.00000	434.83922	0.00000	0.00000
Major-Armor	220	548.15789	0.00000	0.00000	500.43421	0.00000	0.00000
Major-Armor	230	561.11429	0.00000	0.00000	531.74286	0.00000	0.00000
Major-Armor	240	591.80000	0.00000	0.00000	590.46333	0.00000	0.00000
Major-Armor	250	604.41304	0.00000	0.00000	642.40761	0.00000	0.00000
Major-Armor	260	621.52381	0.00000	0.00000	696.03571	0.00000	0.00000
Major-Armor	270	646.71429	0.00000	0.00000	764.24286	0.00000	0.00000
Minor-Armor	10	37.73494	0.00000	0.00000	8.77530	0.00000	0.00000
Minor-Armor	20	48.85714	0.00000	0.00000	14.07473	0.00000	0.00000
Minor-Armor	30	62.87879	0.00000	0.00000	19.85606	0.00000	0.00000
Minor-Armor	40	76.65789	0.00000	0.00000	23.57500	0.00000	0.00000
Minor-Armor	50	90.95413	0.00000	0.00000	32.35734	0.00000	0.00000
