
                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  1. Create and Populate Temporary Table: ACSBV3_temp_curve                                                            ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:57:32                                                                                            0602D (v1.0)
                                                                                                                           
COUNT(*)
78

                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  2. Create and Populate Table: ACSBV3_0602D_curve FROM ACSBV3_temp_curve ORDER BY slot_group, ItemLevelBracket        ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:57:32                                                                                            0602D (v1.0)
                                                                                                                           
slot_group	ItemLevelBracket	armor_raw	armor_3pnt	armor_mono	budget_raw	budget_3pnt	budget_mono
Major-Armor	10	129.70270	0.00000	0.00000	27.91622	0.00000	0.00000
Major-Armor	20	178.09524	0.00000	0.00000	41.61310	0.00000	0.00000
Major-Armor	30	208.97561	0.00000	0.00000	50.83171	0.00000	0.00000
Major-Armor	40	239.63415	0.00000	0.00000	60.23415	0.00000	0.00000
Major-Armor	50	291.04255	0.00000	0.00000	77.31489	0.00000	0.00000
Major-Armor	60	366.90769	0.00000	0.00000	105.73000	0.00000	0.00000
Major-Armor	70	491.52174	0.00000	0.00000	153.33478	0.00000	0.00000
Major-Armor	80	481.85000	0.00000	0.00000	130.76000	0.00000	0.00000
Major-Armor	90	498.53333	0.00000	0.00000	119.68667	0.00000	0.00000
Major-Armor	100	567.13636	0.00000	0.00000	156.33636	0.00000	0.00000
Major-Armor	110	629.68254	0.00000	0.00000	197.00952	0.00000	0.00000
Major-Armor	120	805.62857	0.00000	0.00000	262.71571	0.00000	0.00000
Major-Armor	130	814.00000	0.00000	0.00000	256.55167	0.00000	0.00000
Major-Armor	140	908.02778	0.00000	0.00000	292.12778	0.00000	0.00000
Major-Armor	150	967.73913	0.00000	0.00000	306.27174	0.00000	0.00000
Major-Armor	160	892.00000	0.00000	0.00000	256.26667	0.00000	0.00000
Major-Armor	170	944.25000	0.00000	0.00000	276.91250	0.00000	0.00000
Major-Armor	180	1065.92308	0.00000	0.00000	373.29231	0.00000	0.00000
Major-Armor	200	1162.69231	0.00000	0.00000	478.75577	0.00000	0.00000
Major-Armor	210	1217.10870	0.00000	0.00000	563.73152	0.00000	0.00000
Major-Armor	220	1228.96296	0.00000	0.00000	617.67037	0.00000	0.00000
Major-Armor	230	1233.96552	0.00000	0.00000	666.26552	0.00000	0.00000
Major-Armor	240	1309.85714	0.00000	0.00000	723.02500	0.00000	0.00000
Major-Armor	250	1342.72727	0.00000	0.00000	784.15114	0.00000	0.00000
Major-Armor	260	1385.00000	0.00000	0.00000	838.34500	0.00000	0.00000
Major-Armor	270	1436.89474	0.00000	0.00000	920.37632	0.00000	0.00000
Minor-Armor	10	77.87500	0.00000	0.00000	16.51597	0.00000	0.00000
Minor-Armor	20	107.19718	0.00000	0.00000	25.40282	0.00000	0.00000
Minor-Armor	30	127.72727	0.00000	0.00000	32.25852	0.00000	0.00000
Minor-Armor	40	148.13253	0.00000	0.00000	38.23614	0.00000	0.00000
Minor-Armor	50	181.19802	0.00000	0.00000	51.17228	0.00000	0.00000
Minor-Armor	60	222.37168	0.00000	0.00000	66.91239	0.00000	0.00000
Minor-Armor	70	331.96875	0.00000	0.00000	107.49063	0.00000	0.00000
Minor-Armor	80	301.54839	0.00000	0.00000	83.70161	0.00000	0.00000
Minor-Armor	90	297.65625	0.00000	0.00000	70.75781	0.00000	0.00000
Minor-Armor	100	359.00000	0.00000	0.00000	95.11233	0.00000	0.00000
Minor-Armor	110	397.25263	0.00000	0.00000	123.77632	0.00000	0.00000
Minor-Armor	120	510.32787	0.00000	0.00000	178.81066	0.00000	0.00000
Minor-Armor	130	507.00000	0.00000	0.00000	165.34868	0.00000	0.00000
Minor-Armor	140	548.05882	0.00000	0.00000	191.85098	0.00000	0.00000
Minor-Armor	150	568.37736	0.00000	0.00000	195.49811	0.00000	0.00000
Minor-Armor	160	524.00000	0.00000	0.00000	129.12083	0.00000	0.00000
Minor-Armor	170	568.61111	0.00000	0.00000	149.88889	0.00000	0.00000
Minor-Armor	180	642.68182	0.00000	0.00000	249.30455	0.00000	0.00000
Minor-Armor	200	732.02857	0.00000	0.00000	319.89929	0.00000	0.00000
Minor-Armor	210	756.31746	0.00000	0.00000	375.80635	0.00000	0.00000
Minor-Armor	220	771.80000	0.00000	0.00000	435.58000	0.00000	0.00000
Minor-Armor	230	811.74194	0.00000	0.00000	463.16452	0.00000	0.00000
Minor-Armor	240	790.18605	0.00000	0.00000	476.31279	0.00000	0.00000
