
                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  1. Create and Populate Temporary Table: ACSBV3_temp_curve                                                            ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:57:36                                                                                            0602E (v1.0)
                                                                                                                           
COUNT(*)
70

                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  2. Create and Populate Table: ACSBV3_0602E_curve FROM ACSBV3_temp_curve ORDER BY slot_group, ItemLevelBracket        ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:57:36                                                                                            0602E (v1.0)
                                                                                                                           
slot_group	ItemLevelBracket	armor_raw	armor_3pnt	armor_mono	budget_raw	budget_3pnt	budget_mono
Major-Armor	40	400.78571	0.00000	0.00000	90.70179	0.00000	0.00000
Major-Armor	50	512.36364	0.00000	0.00000	117.01591	0.00000	0.00000
Major-Armor	60	634.77027	0.00000	0.00000	157.26014	0.00000	0.00000
Major-Armor	70	869.80952	0.00000	0.00000	227.04286	0.00000	0.00000
Major-Armor	80	892.65000	0.00000	0.00000	217.93750	0.00000	0.00000
Major-Armor	90	875.25000	0.00000	0.00000	209.18750	0.00000	0.00000
Major-Armor	100	1007.58824	0.00000	0.00000	246.12059	0.00000	0.00000
Major-Armor	110	1139.07692	0.00000	0.00000	305.95231	0.00000	0.00000
Major-Armor	120	1436.64706	0.00000	0.00000	400.59118	0.00000	0.00000
Major-Armor	130	1482.60000	0.00000	0.00000	406.42500	0.00000	0.00000
Major-Armor	140	1617.27027	0.00000	0.00000	459.16865	0.00000	0.00000
Major-Armor	150	1709.93750	0.00000	0.00000	475.65156	0.00000	0.00000
Major-Armor	160	1645.61538	0.00000	0.00000	450.20385	0.00000	0.00000
Major-Armor	170	1672.61538	0.00000	0.00000	415.56538	0.00000	0.00000
Major-Armor	180	1876.12500	0.00000	0.00000	561.39375	0.00000	0.00000
Major-Armor	200	2075.44444	0.00000	0.00000	670.23528	0.00000	0.00000
Major-Armor	210	2168.54286	0.00000	0.00000	743.90457	0.00000	0.00000
Major-Armor	220	2203.60000	0.00000	0.00000	787.52571	0.00000	0.00000
Major-Armor	230	2215.01961	0.00000	0.00000	817.50588	0.00000	0.00000
Major-Armor	240	2330.38462	0.00000	0.00000	884.91538	0.00000	0.00000
Major-Armor	250	2445.59420	0.00000	0.00000	959.46304	0.00000	0.00000
Major-Armor	260	2650.36364	0.00000	0.00000	1041.55000	0.00000	0.00000
Major-Armor	270	2711.28571	0.00000	0.00000	1126.26071	0.00000	0.00000
Minor-Armor	40	236.61446	0.00000	0.00000	55.95904	0.00000	0.00000
Minor-Armor	50	313.36893	0.00000	0.00000	76.10097	0.00000	0.00000
Minor-Armor	60	396.42727	0.00000	0.00000	103.46682	0.00000	0.00000
Minor-Armor	70	581.17778	0.00000	0.00000	157.94333	0.00000	0.00000
Minor-Armor	80	544.44118	0.00000	0.00000	137.12706	0.00000	0.00000
Minor-Armor	90	525.10000	0.00000	0.00000	122.85250	0.00000	0.00000
Minor-Armor	100	609.60000	0.00000	0.00000	148.92300	0.00000	0.00000
Minor-Armor	110	722.02198	0.00000	0.00000	197.65000	0.00000	0.00000
Minor-Armor	120	919.00000	0.00000	0.00000	267.45712	0.00000	0.00000
