
                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  1. Create Generate Chart Procedure: ACSBV3_generate_chart                                                            ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:57:39                                                                                            0602F (v1.0)
                                                                                                                           

Procedure Created: ACSBV3_generate_chart

                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  2. Create and Populate Table: ACSBV3_aux_armor_general                                                               ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:57:39                                                                                            0602F (v1.0)
                                                                                                                           
COUNT(*)
30
COUNT(*)
30
COUNT(*)
30
COUNT(*)
30
COUNT(*)
30
slot_group	ItemLevelBracket	armor	armorCost	budget_avg	budget_ratio
Major-Armor	10	76.11206	15.22241	19.11266	79.64569
Major-Armor	20	86.27878	17.25576	22.72341	75.93825
Major-Armor	30	122.92889	24.58578	33.18994	74.07600
Major-Armor	40	169.39521	33.87904	45.65997	74.19856
Major-Armor	50	231.61453	46.32291	65.17430	71.07542
Major-Armor	60	308.98233	61.79647	93.44090	66.13428
Major-Armor	70	375.16844	75.03369	113.60064	66.05041
Major-Armor	80	425.86409	85.17282	123.49087	68.97094
Major-Armor	90	446.29184	89.25837	124.77947	71.53290
Major-Armor	100	481.61389	96.32278	143.20709	67.26118
Major-Armor	110	561.67794	112.33559	182.73463	61.47471
Major-Armor	120	652.91057	130.58211	219.18006	59.57755
Major-Armor	130	748.92476	149.78495	254.03686	58.96190
Major-Armor	140	809.77090	161.95418	271.52707	59.64568
Major-Armor	150	867.45363	173.49073	280.70315	61.80577
Major-Armor	160	882.86524	176.57305	280.70315	62.90384
Major-Armor	170	928.98985	185.79797	300.56158	61.81694
Major-Armor	180	989.56254	197.91251	364.85741	54.24380
Major-Armor	190	989.56254	197.91251	364.85741	54.24380
Major-Armor	200	1090.87471	218.17494	463.51206	47.06996
Major-Armor	210	1169.92675	233.98535	543.95059	43.01592
Major-Armor	220	1203.90051	240.78010	603.35766	39.90669
Major-Armor	230	1249.63916	249.92783	656.28697	38.08210
Major-Armor	240	1274.78287	254.95657	705.83253	36.12140
Major-Armor	250	1357.63371	271.52674	769.73945	35.27515
Major-Armor	260	1394.43512	278.88702	832.82105	33.48703
Major-Armor	270	1432.12829	286.42566	866.94584	33.03847
