
                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  1. Research Stat Count per Item: Simple Groups                                                                       ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:58:50                                                                                            0604A (v1.0)
                                                                                                                           
Group_Name	Item_Count	AVG_Stat_Count
Global	14270	3.4081



GROUP BY Quality
Group_Name	Item_Count	AVG_Stat_Count
Uncommon  	 1632	  1.9063
Rare      	 3737	  2.6901
Epic      	 8890	  3.9862
Legendary 	   11	  2.9091



GROUP BY ItemLevelBracket
Group_Name	Item_Count	AVG_Stat_Count
10 	  235	  1.5064
20 	  451	  1.7871
30 	  442	  2.0475
40 	  482	  2.0415
50 	  663	  2.1991
60 	 1173	  2.2924
70 	  586	  2.4727
80 	  295	  2.3153
90 	  216	  2.2407
100	  346	  2.7630
110	 1135	  2.9233
130	  384	  3.3594
140	  554	  3.4657
150	  483	  3.5673
160	  109	  3.0550
170	   96	  2.7813
180	  228	  3.6404
200	 1100	  3.9855
120	  602	  3.3854
210	  912	  4.4101
220	  463	  4.7127
230	  865	  4.6012
240	  678	  4.7640
250	  877	  4.6933
260	  488	  4.7234
270	  385	  4.7299
280	   22	  4.8182



GROUP BY slot_group
Group_Name	Item_Count	AVG_Stat_Count
1H-Weapon      	 1105	  2.9611
Accessory      	 1327	  3.0490
Major-Armor    	 3074	  3.6321
Minor-Armor    	 4218	  3.4289
2H-Weapon      	  411	  2.8540
Back           	  556	  2.9191
Shield         	  228	  2.7061
Staff-Weapon   	  273	  3.4505
Ranged-Thrown  	   48	  2.8542
Moderate-Armor 	 2712	  3.7895
Ranged-Weapon  	  208	  2.7260
Ranged-Wand    	  110	  3.1909



                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  1. Research Stat Count per Item: Two Groups                                                                          ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:58:51                                                                                            0604A (v1.0)
                                                                                                                           

GROUP BY Quality, ItemLevelBracket
Quality	ItemLevel	Item_Count	AVG_Stat_Count
Uncommon  	10 	  227	  1.4934
Uncommon  	20 	  288	  1.7257
Uncommon  	30 	  256	  1.9922
Uncommon  	40 	  278	  2.0000
Uncommon  	50 	  233	  2.1116
Uncommon  	60 	  140	  1.9786
Uncommon  	70 	    1	  2.0000
Uncommon  	80 	    7	  1.4286
Uncommon  	90 	   61	  1.6721
Uncommon  	100	   21	  1.4286
Uncommon  	110	    5	  1.8000
Uncommon  	130	   24	  2.5000
Uncommon  	140	   35	  2.8286
Uncommon  	150	   34	  2.5000
Uncommon  	160	   12	  2.5000
Uncommon  	170	    7	  1.4286
Uncommon  	180	    3	  1.0000
Rare      	10 	    8	  1.8750
Rare      	20 	  163	  1.8957
Rare      	30 	  185	  2.1297
Rare      	40 	  188	  2.0851
Rare      	50 	  411	  2.2384
Rare      	60 	  749	  2.2537
Rare      	70 	   89	  2.3933
Rare      	80 	   54	  2.4815
Rare      	90 	   83	  2.4819
Rare      	100	  112	  2.6786
Rare      	110	  812	  2.9901
Rare      	130	   18	  2.8333
Rare      	140	   15	  3.1333
Rare      	150	   66	  2.5909
Rare      	160	   74	  3.0405
Rare      	170	   89	  2.8876
Rare      	180	  225	  3.6756
Rare      	200	  396	  3.7273
Epic      	30 	    1	  1.0000
Epic      	40 	   16	  2.2500
Epic      	50 	   19	  2.4211
Epic      	60 	  284	  2.5493
Epic      	70 	  496	  2.4879
Epic      	80 	  232	  2.3060
Epic      	90 	   68	  2.4265
Epic      	100	  213	  2.9390
Epic      	110	  318	  2.7704
Epic      	120	  602	  3.3854
Epic      	130	  342	  3.4474
Epic      	140	  504	  3.5198
Epic      	150	  381	  3.8346
Epic      	160	   22	  3.4545
Epic      	200	  704	  4.1307
Epic      	210	  912	  4.4101
Epic      	220	  463	  4.7127
Epic      	230	  865	  4.6012
Epic      	240	  677	  4.7637
Epic      	250	  877	  4.6933
Epic      	260	  488	  4.7234
Epic      	270	  385	  4.7299
Epic      	280	   21	  4.8571
Legendary 	80 	    2	  2.0000
Legendary 	90 	    4	  2.7500
Legendary 	150	    2	  3.0000
Legendary 	160	    1	  2.0000
Legendary 	240	    1	  5.0000
Legendary 	280	    1	  4.0000



GROUP BY Quality, slot_group
Quality	Slot_Group	Item_Count	AVG_Stat_Count
Uncommon  	1H-Weapon      	  120	  1.2250
Uncommon  	Accessory      	  125	  1.8880
Uncommon  	Major-Armor    	  391	  1.9514
Uncommon  	Minor-Armor    	  525	  1.9886
Uncommon  	2H-Weapon      	   62	  1.6290
Uncommon  	Back           	  101	  1.8218
Uncommon  	Shield         	   49	  2.0204
Uncommon  	Staff-Weapon   	   13	  1.3846
Uncommon  	Ranged-Thrown  	    7	  1.2857
Uncommon  	Moderate-Armor 	  228	  2.1667
Uncommon  	Ranged-Weapon  	    9	  1.5556
Uncommon  	Ranged-Wand    	    2	  1.0000
Rare      	1H-Weapon      	  321	  2.2710
Rare      	Back           	  167	  2.2275
Rare      	Major-Armor    	  706	  3.0567
Rare      	Minor-Armor    	 1118	  2.6968
Rare      	Accessory      	  395	  2.3494
