
                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  1. Basic Research: Buy/Sell Price in ACSBV3_ref_dataset.                                                             ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:59:14                                                                                            0700C (v1.0)
                                                                                                                           

  +----------------------------------------------+---------+-----------+  
  |                                              |  Count  |   Ratio   |  
  +----------------------------------------------+---------+-----------+  
  |                                              |         |           |  
  |  ACSBV3_ref_dataset: Total Items             |  18318  |  100.00%  |  
  |                                              |         |           |  
  |  Dataset items with a Buy  Price             |  13097  |   71.50%  |  
  |  Dataset items with a Sell Price             |  13103  |   71.53%  |  
  |                                              |         |           |  
  |  Dataset items with both Buy and Sell Price  |  13096  |   71.49%  |  
  |  Dataset items without a Buy  or Sell Price  |   5214  |   28.46%  |  
  |                                              |         |           |  
  +----------------------------------------------+---------+-----------+  
                                                                          

<-------------------------------------------------------------------------------+-----------------------------------------------------+----------------+---------------------------------------------------->
 Group Information:                                                             | Buy Information:                                    |                | Sell Information:                                   
 +-----------+----------------+------+------+--------------+-------+----------+ | +---------------+---------------+-----------------+ |:--------------:| +-----------------+---------------+---------------+ 
 | Quality   | Slot Group     | iLvl | {lv} |   AVG Budget | Items |  Ratio % | | |  iLvl Ratio % |  Budget Ratio |       Buy Price | |     Ratio %    | |   Sell Price    |  Budget Ratio |  iLvl Ratio % | 
 +-----------+----------------+------+------+--------------+-------+----------+ | +---------------+---------------+-----------------+ |:--------------:| +-----------------+---------------+---------------+ 
 |           |                |      |      |              |       |          | | |               |               |                 | |                | |                 |               |               | 
 | Rare      | ANY            |  113 |  110 |    173.53214 | 13096 | 100.000% | | |      0.04010% |      0.06152% |      282061.733 | |     17.66900%  | |       49837.377 |      0.34820% |      0.22670% | 
 |           |                |      |      |              |       |          | | |               |               |                 | |                | |                 |               |               | 
 +-----------+----------------+------+------+--------------+-------+----------+ | +---------------+---------------+-----------------+ |:--------------:| +-----------------+---------------+---------------+ 
                                                                                |                                                     |                |                                                     
<-------------------------------------------------------------------------------+-----------------------------------------------------+----------------+---------------------------------------------------->

                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  2. Basic Research: Buy/Sell Price in ACSBV3_ref_dataset. [GROUP BY Quality, slot_group]                              ##
##                                                                                                                       ##
###########################################################################################################################
2025-12-19 18:59:14                                                                                            0700C (v1.0)
                                                                                                                           

<-------------------------------------------------------------------------------+-----------------------------------------------------+----------------+---------------------------------------------------->
 Group Information:                                                             | Buy Information:                                    |                | Sell Information:                                   
 +-----------+----------------+------+------+--------------+-------+----------+ | +---------------+---------------+-----------------+ |:--------------:| +-----------------+---------------+---------------+ 
 | Quality   | Slot Group     | iLvl | {lv} |   AVG Budget | Items |  Ratio % | | |  iLvl Ratio % |  Budget Ratio |       Buy Price | |     Ratio %    | |   Sell Price    |  Budget Ratio |  iLvl Ratio % | 
 +-----------+----------------+------+------+--------------+-------+----------+ | +---------------+---------------+-----------------+ |:--------------:| +-----------------+---------------+---------------+ 
 |           |                |      |      |              |       |          | | |               |               |                 | |                | |                 |               |               | 
 | Common    | 1H-Weapon      |   14 |   10 |      6.04907 |    17 |   0.130% | | |      0.79030% |      0.34146% |        1771.529 | |     19.97300%  | |         353.824 |      1.70963% |      3.95680% | 
 | Common    | 1H-Weapon      |   23 |   20 |     10.69786 |    10 |   0.076% | | |      0.36880% |      0.17152% |        6237.200 | |     19.99300%  | |        1247.000 |      0.85789% |      1.84440% | 
 | Common    | 1H-Weapon      |   35 |   30 |     17.02189 |     7 |   0.053% | | |      0.16370% |      0.07963% |       21376.143 | |     19.99800%  | |        4274.714 |      0.39820% |      0.81880% | 
 | Common    | 1H-Weapon      |   46 |   40 |     25.35084 |     4 |   0.031% | | |      0.09100% |      0.05018% |       50523.750 | |     20.00000%  | |       10104.500 |      0.25089% |      0.45520% | 
 | Common    | 1H-Weapon      |   55 |   50 |     31.50000 |     1 |   0.008% | | |      0.05680% |      0.03251% |       96881.000 | |     20.00000%  | |       19376.000 |      0.16257% |      0.28390% | 
 | Common    | 1H-Weapon      |   69 |   60 |     38.23529 |     1 |   0.008% | | |      0.04740% |      0.02627% |      145540.000 | |     20.00000%  | |       29108.000 |      0.13136% |      0.23700% | 
 | Common    | 1H-Weapon      |   74 |   70 |     40.49715 |     3 |   0.023% | | |      0.05230% |      0.02863% |      141455.000 | |     20.00000%  | |       28290.333 |      0.14315% |      0.26160% | 
 | Common    | 1H-Weapon      |   81 |   80 |     43.27961 |     6 |   0.046% | | |      0.05100% |      0.02725% |      158814.000 | |     20.00000%  | |       31762.500 |      0.13626% |      0.25500% | 
 | Common    | 1H-Weapon      |  115 |  110 |     60.38462 |     1 |   0.008% | | |      0.05370% |      0.02822% |      214001.000 | |     20.00000%  | |       42800.000 |      0.14109% |      0.26870% | 
 | Common    | 2H-Weapon      |   14 |   10 |      8.33542 |     5 |   0.038% | | |      0.60640% |      0.36103% |        2308.800 | |     19.97600%  | |         461.200 |      1.80733% |      3.03560% | 
 | Common    | 2H-Weapon      |   23 |   20 |     14.19841 |     7 |   0.053% | | |      0.26560% |      0.16398% |        8658.857 | |     19.99600%  | |        1731.429 |      0.82004% |      1.32840% | 
 | Common    | 2H-Weapon      |   35 |   30 |     22.53689 |     4 |   0.031% | | |      0.12410% |      0.07991% |       28201.250 | |     19.99900%  | |        5640.000 |      0.39959% |      0.62060% | 
 | Common    | 2H-Weapon      |   45 |   40 |     32.41522 |     3 |   0.023% | | |      0.07400% |      0.05334% |       60770.000 | |     19.99900%  | |       12153.667 |      0.26671% |      0.37030% | 
 | Common    | 2H-Weapon      |   73 |   70 |     52.59375 |     4 |   0.031% | | |      0.03990% |      0.02874% |      183010.250 | |     20.00000%  | |       36601.750 |      0.14369% |      0.19940% | 
 | Common    | 2H-Weapon      |   82 |   80 |     56.57284 |     6 |   0.046% | | |      0.04150% |      0.02862% |      197637.667 | |     20.00000%  | |       39527.000 |      0.14312% |      0.20750% | 
 | Common    | Ranged-Thrown  |   16 |   10 |      9.47368 |     2 |   0.015% | | |     21.33330% |     12.63157% |          75.000 | |     24.00000%  | |          18.000 |     52.63156% |     88.88890% | 
