total_rows
14861
total_items	avg_armor	stdev_armor	avg_resist_total	stdev_resist_total	avg_socket_count	pct_with_bonus
14861	540.29	843.88	0.85	5.7	0.62	36.07
socket_count	items
0	9499
1	2047
2	2745
3	570
has_socket_bonus	items
0	9500
1	5361
iLvl_band	avg_armor
10	51.62
20	77.20
30	95.84
40	138.96
50	213.30
60	238.25
70	302.00
80	355.84
90	337.97
100	355.48
110	349.44
120	486.00
130	574.42
140	622.16
150	677.59
160	803.93
170	835.71
180	785.34
190	790.93
200	879.29
210	885.86
220	959.19
230	789.92
240	862.06
250	906.63
260	1025.99
270	1080.61
280	1119.88
avg_holy	avg_fire	avg_nature	avg_frost	avg_shadow	avg_arcane
0.00	0.24	0.12	0.22	0.19	0.08
