Quality	iLvl_band	items_with_spell	spell_ratio	items_with_random	random_ratio
1	10	0	NULL	0	NULL
1	20	1	33.051	0	NULL
1	30	0	NULL	0	NULL
1	40	0	NULL	0	NULL
1	50	0	NULL	0	NULL
1	80	0	NULL	0	NULL
2	10	3	63.820	25	105.804
2	20	14	59.974	157	78.136
2	30	31	70.035	243	63.513
2	40	35	56.231	301	62.825
2	50	38	66.351	327	66.237
2	60	40	71.914	298	66.586
2	70	0	NULL	18	NULL
2	80	3	146.734	68	63.913
2	90	7	118.044	102	66.378
2	100	8	131.910	106	60.005
2	110	6	108.290	136	89.340
2	120	0	NULL	68	NULL
2	130	0	NULL	68	65.672
2	140	0	NULL	68	48.452
2	150	0	NULL	102	50.444
2	160	0	NULL	68	52.086
2	170	0	NULL	101	31.092
2	180	0	NULL	68	NULL
3	20	10	48.586	0	NULL
3	30	24	60.480	4	54.180
3	40	39	60.635	7	84.825
3	50	73	70.971	12	75.372
3	60	396	77.229	23	66.507
3	70	90	95.164	8	67.407
3	80	0	NULL	4	NULL
3	90	50	90.649	32	57.751
3	100	43	92.629	14	53.153
3	110	80	89.810	33	66.500
3	120	374	71.640	23	40.063
3	130	10	68.072	0	NULL
3	140	7	53.195	0	NULL
3	150	16	93.442	0	NULL
3	160	36	89.793	6	54.557
3	170	29	70.320	8	40.239
3	180	25	79.761	8	50.134
3	190	56	70.799	0	NULL
3	200	135	69.586	0	NULL
4	40	4	46.287	0	NULL
4	50	5	82.425	0	NULL
4	60	33	83.404	0	NULL
4	70	217	82.406	1	179.864
4	80	244	91.541	0	NULL
4	90	126	103.281	0	NULL
4	100	17	61.766	0	NULL
4	110	128	94.817	0	NULL
4	120	199	66.911	12	55.784
4	130	147	73.452	0	NULL
4	140	162	56.529	0	NULL
4	150	60	74.623	0	NULL
4	160	68	54.322	0	NULL
4	200	192	71.078	0	NULL
4	210	144	73.248	0	NULL
4	220	1	110.478	0	NULL
4	230	49	104.723	0	NULL
4	240	0	NULL	0	NULL
4	250	31	102.906	0	NULL
4	260	10	82.453	0	NULL
4	270	4	85.182	0	NULL
4	280	5	85.410	0	NULL
Quality	avg_spell_ratio	stdev_spell_ratio	avg_random_ratio	stdev_random_ratio
1	33.05	NULL	NULL	NULL
2	89.33	33.51	64.70	17.46
3	75.15	14.35	59.22	13.44
4	80.34	17.45	117.82	87.74
