total_rows
22
stat_type	stat_name	occurrences	avg_value	stdev_value	min_value	max_value	avg_dps	stdev_dps
3	ITEM_MOD_AGILITY	549	40.01	36.65	1	179	131.268	83.625
4	ITEM_MOD_STRENGTH	394	35.30	44.5	1	223	89.414	82.742
5	ITEM_MOD_INTELLECT	554	37.93	32.69	2	188	111.448	87.125
6	ITEM_MOD_SPIRIT	191	32.25	34.72	1	150	106.108	97.901
7	ITEM_MOD_STAMINA	1703	51.41	50.27	1	275	127.548	83.186
12	ITEM_MOD_DEFENSE_SKILL_RATING	48	28.65	10.34	13	56	160.69	55.482
13	ITEM_MOD_DODGE_RATING	27	29.15	10.78	14	56	171.088	49.516
14	ITEM_MOD_PARRY_RATING	24	30.79	9.77	16	49	189.241	41.194
15	ITEM_MOD_BLOCK_RATING	4	24.25	9.07	11	31	173.908	93.641
18	ITEM_MOD_HIT_SPELL_RATING	1	18.00	NULL	18	18	38.75	NULL
30	ITEM_MOD_HASTE_SPELL_RATING	2	227.00	0	227	227	38.881	0.185
31	ITEM_MOD_HIT_RATING	397	28.91	25.43	2	150	127.487	65.974
32	ITEM_MOD_CRIT_RATING	790	40.26	26.38	3	161	159.292	76.71
35	ITEM_MOD_RESILIENCE_RATING	416	38.85	29.08	9	139	162.096	74.669
36	ITEM_MOD_HASTE_RATING	305	51.09	30.3	8	150	173.408	70.211
37	ITEM_MOD_EXPERTISE_RATING	74	38.20	29.26	4	114	158.856	78.596
38	ITEM_MOD_ATTACK_POWER	457	108.96	60.2	6	334	195.444	53.911
43	ITEM_MOD_MANA_REGENERATION	28	22.82	5.81	10	31	114.718	28.618
44	ITEM_MOD_ARMOR_PENETRATION_RATING	122	57.72	28.79	17	123	224.591	48.199
45	ITEM_MOD_SPELL_POWER	250	457.49	260.8	18	893	162.461	94.396
47	ITEM_MOD_SPELL_PENETRATION	3	32.67	11.68	20	43	339.035	90.759
48	ITEM_MOD_BLOCK_VALUE	2	67.00	5.66	63	71	237.884	21.485
stat_name	occurrences
ITEM_MOD_STAMINA	1703
ITEM_MOD_CRIT_RATING	790
ITEM_MOD_INTELLECT	554
ITEM_MOD_AGILITY	549
ITEM_MOD_ATTACK_POWER	457
ITEM_MOD_RESILIENCE_RATING	416
ITEM_MOD_HIT_RATING	397
ITEM_MOD_STRENGTH	394
ITEM_MOD_HASTE_RATING	305
ITEM_MOD_SPELL_POWER	250
subclass	avg_dps	items
0	139.089	462
1	144.564	281
2	125.813	178
3	152.21	222
4	105.536	788
5	136.006	330
6	192.291	262
7	114.753	721
8	155.018	300
10	138.249	942
13	151.525	346
15	120.946	985
18	167.537	169
19	270.242	355
iLvl_band	avg_dps	items
10	6.769	12
20	13.506	154
30	19.951	138
40	29.641	118
50	38.099	125
60	45.181	207
70	54.661	155
80	62.742	181
90	65.456	119
100	69.418	82
110	80.185	97
120	79.026	514
130	89.395	98
140	97.504	178
150	104.674	343
160	98.318	61
170	114.504	45
180	105.586	33
190	134.941	83
200	142.655	592
210	167.71	287
220	161.58	250
230	188.028	616
240	187.924	173
250	206.859	658
260	232.453	688
270	232.702	88
280	263.621	246
