
                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  1. Stat to Cost Table:                                                                                       (v2.4)  ##
##                                                                                                                       ##
###########################################################################################################################
                                                                                                                           
stat_type	stat_name	cost	role	notes
-2	Armor	0.20	ANY	1 Budget Per 5 Armor.
-1	DPS	1.00	ANY	1 Budget Per 1 DPS.
0	ITEM_MOD_MANA	0.00	NONE	Excluded From Stats Budget.
3	ITEM_MOD_AGILITY	1.10	PRIMARY DPS	Increase Attack Power of Melee and Ranged Weapons.
4	ITEM_MOD_STRENGTH	0.85	PRIMARY MELEE	Increase Melee Attack Power and Perry Rating.
5	ITEM_MOD_INTELLECT	0.90	PRIMARY CASTER	Increase Spell Power and Mana Pool.
6	ITEM_MOD_SPIRIT	0.80	ANY	Increase Health and Mana Regeneration.
7	ITEM_MOD_STAMINA	1.00	ANY	Increase Health.
12	ITEM_MOD_DEFENSE_SKILL_RATING	0.80	TANK	Reduce Chance of Being Hit, or Critically Hit. Increase Chance to Block, Dodge, and Perry an Attack.
13	ITEM_MOD_DODGE_RATING	0.85	TANK	Increase Chance to Dodge an Attack.
14	ITEM_MOD_PARRY_RATING	0.25	TANK	Increase Chance to Perry an Attack.
15	ITEM_MOD_BLOCK_RATING	0.55	TANK	Increase Chance to Block an Attack.
31	ITEM_MOD_HIT_RATING	0.85	DPS	Increase Chance of Successful Hit.
32	ITEM_MOD_CRIT_RATING	0.90	DPS	Increase Chance of Critical Hit.
35	ITEM_MOD_RESILIENCE_RATING	0.70	PVP	Reduce PVP Damage Taken.
36	ITEM_MOD_HASTE_RATING	0.90	DPS	Increase Attack Speed. Reduce Cast Time.
37	ITEM_MOD_EXPERTISE_RATING	1.10	MELEE	Reduce Chance of Melee Attack Being Avoided by Target.
38	ITEM_MOD_ATTACK_POWER	0.40	DPS	Increase Base Weapon Damage.
39	ITEM_MOD_RANGED_ATTACK_POWER	0.40	RANGED	Increase Ranged Weapon Damage.
42	ITEM_MOD_SPELL_DAMAGE_DONE	0.45	CASTER	Legacy Stat -> Mirrors Spell Power.
44	ITEM_MOD_ARMOR_PENETRATION_RATING	0.90	MELEE DPS	Increase Amount of Armor Player Attack can Ignore.
45	ITEM_MOD_SPELL_POWER	0.90	CASTER	Increase Effectiveness of Spells.
100	Other	0.00	UNKNOWN	All Other Stats.

                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  2. Socket Cost Table:                                                                                        (v2.4)  ##
##                                                                                                                       ##
###########################################################################################################################
                                                                                                                           
socketBonus	socketBonus_name	cost
1597	+32 Attack Power	6.40
2370	+3 Mana per 5 sec	1.50
2371	+4 Mana per 5 sec	2.00
2392	+12 Mana per 5 sec	6.00
2844	+8 Hit Rating	3.40
2861	+3 Defense Rating	1.20
2862	+3 Resilience Rating	1.05
2863	+3 Intellect	1.35
2865	+2 Mana per 5 sec	1.00
2866	+3 Spirit	1.20
2867	+2 Resilience Rating	0.70
2869	+4 Intellect	1.80
2870	+3 Parry Rating	0.37
2871	+4 Dodge Rating	1.70
2876	+3 Dodge Rating	1.27
2877	+4 Agility	2.20
2878	+4 Resilience Rating	1.40
2879	+3 Strength	1.27
2880	+3 Hit Rating	1.27
2881	+1 Mana per 5 sec	0.50
2882	+6 Stamina	3.00
2888	+6 Block Value	1.65
2890	+4 Spirit	1.60
2893	+3 Agility	1.65
2895	+4 Stamina	2.00
2907	+2 Parry Rating	0.25
2908	+4 Hit Rating	1.70
2926	+2 Dodge Rating	0.85
2927	+4 Strength	1.70
2932	+4 Defense Rating	1.60
2936	+8 Attack Power	1.60
2941	+2 Hit Rating	0.85
2972	+4 Block Rating	1.10
2973	+6 Attack Power	1.20
2974	+4 Spell Power	1.80
2975	+5 Block Value	1.37
2976	+2 Defense Rating	0.80
3015	+2 Strength	0.85
3016	+2 Intellect	0.90
3017	+3 Block Rating	0.82
3094	+4 Expertise Rating	2.20
3097	+2 Spirit	0.80
3114	+4 Attack Power	0.80
3149	+2 Agility	1.10
3152	+2 Critical Strike Rating	0.90
3153	+2 Spell Power	0.90
3164	+3 Stamina	1.50
3205	+3 Critical Strike Rating	1.35
3263	+4 Critical Strike Rating	1.80
3302	+8 Defense Rating	3.20
3303	+8 Haste Rating	3.60
3304	+8 Dodge Rating	3.40
3307	+9 Stamina	4.50
3308	+4 Haste Rating	1.80
3309	+6 Haste Rating	2.70
3310	+6 Intellect	2.70
3311	+6 Spirit	2.40
3312	+8 Strength	3.40
3313	+8 Agility	4.40
3314	+8 Critical Strike Rating	3.60
3316	+6 Critical Strike Rating	2.70
3351	+6 Hit Rating	2.55
3352	+8 Spirit	3.20
3353	+8 Intellect	3.60
3355	+6 Agility	3.30
3357	+6 Strength	2.55
3358	+6 Dodge Rating	2.55
3359	+4 Parry Rating	0.50
3360	+8 Parry Rating	1.00
3361	+6 Block Rating	1.65
3362	+6 Expertise Rating	3.30
3363	+9 Block Value	2.47
3600	+6 Resilience Rating	2.10
3602	+7 Spell Power	3.15
3752	+5 Spell Power	2.25
3753	+9 Spell Power	4.05
3764	+12 Attack Power	2.40
3765	+4 Armor Penetration	1.80
