
The script is processing. Please wait...

                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  Diagnostic Output:                                                                                           (v2.4)  ##
##                                                                                                                       ##
###########################################################################################################################
                                                                                                                           
CurveName	QualityName	ItemLevel	curve_raw	curve_3pnt	curve_mono	min_budget	max_budget	ItemCount
Q1	Common	10	5.04718	5.47942	5.47942	0.69639	12.88660	76
Q1	Common	11	5.91166	5.59049	5.59049	1.40056	12.75510	26
Q1	Common	12	5.81263	6.18744	6.18744	1.44592	13.60544	23
Q1	Common	13	6.83803	6.35393	6.35393	1.57719	15.00000	18
Q1	Common	14	6.41114	6.54339	6.54339	1.69851	15.13605	23
Q1	Common	15	6.38099	6.66029	6.66029	5.45554	7.08271	7
Q1	Common	16	7.18875	6.86941	6.86941	4.83364	9.64278	7
Q1	Common	17	7.03848	6.65313	6.86941	1.12196	15.87302	24
Q1	Common	18	5.73215	7.03127	7.03127	5.73215	5.73215	1
Q1	Common	19	8.32318	7.25790	7.25790	7.45576	9.60720	3
Q1	Common	20	7.71836	8.74211	8.74211	2.86961	11.42857	7
Q1	Common	21	10.18479	8.90109	8.90109	2.66553	21.61237	15
Q1	Common	22	8.80013	10.33983	10.33983	1.31540	21.30767	26
Q1	Common	23	12.03456	10.32863	10.33983	2.64014	22.32097	6
Q1	Common	24	10.15121	11.15316	11.15316	2.74169	21.99502	8
Q1	Common	25	11.27370	11.20607	11.20607	7.76225	14.48243	9
Q1	Common	26	12.19331	10.86245	11.20607	9.71963	14.99818	5
Q1	Common	27	9.12035	8.71133	11.20607	1.50884	18.79384	28
Q1	Common	29	4.82033	13.69012	13.69012	3.30426	6.33640	2
Q1	Common	30	27.12968	14.58772	14.58772	27.12968	27.12968	1
Q1	Common	32	11.81316	18.71799	18.71799	7.05895	16.56737	2
Q1	Common	34	17.21112	14.78886	18.71799	14.59380	19.64962	7
Q1	Common	35	15.34231	16.13344	18.71799	8.40716	19.23077	8
Q1	Common	36	15.84689	13.99284	18.71799	11.74123	20.88555	4
Q1	Common	37	10.78933	16.47608	18.71799	1.77966	21.82540	25
Q1	Common	40	22.79203	18.12565	18.71799	22.79203	22.79203	2
Q1	Common	44	20.79559	21.30349	21.30349	20.38886	21.20231	2
Q1	Common	45	20.32285	21.61192	21.61192	16.59463	24.71929	3
Q1	Common	46	23.71733	26.69561	26.69561	21.41308	25.71017	5
Q1	Common	47	36.04665	30.47460	30.47460	36.04665	36.04665	1
Q1	Common	50	31.65981	34.46743	34.46743	2.39867	64.76256	38
Q1	Common	55	35.69583	35.66261	35.66261	34.90028	37.28693	3
Q1	Common	69	39.63220	32.11652	35.66261	34.76568	44.49871	2
Q1	Common	70	21.02154	33.41725	35.66261	11.03955	45.10921	10
Q1	Common	71	39.59802	31.32436	35.66261	35.36522	43.83081	2
Q1	Common	72	33.35353	38.27186	38.27186	33.35353	33.35353	1
Q1	Common	75	41.86404	37.79485	38.27186	33.13514	46.57024	10
Q1	Common	80	38.16698	42.12501	42.12501	23.43521	49.14530	16
Q1	Common	85	46.34401	53.17789	53.17789	35.93851	62.56463	5
Q1	Common	90	75.02269	61.20630	61.20630	40.24982	105.77379	6
Q1	Common	115	62.25219	68.63744	68.63744	62.25219	62.25219	1

                                                                                                                           
                                                                                                                           
ItemCount
18318

                                                                                                                           
                                                                                                                           
zero_points
0

                                                                                                                           
                                                                                                                           
###########################################################################################################################
##  END PRINT OUT                                                                                                        ##
###########################################################################################################################
                                                                                                                           
                                                                                                                           
                                                                                                                           
