
                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  1. Create and Populate Curve Table: ACSBV3_doc_curve FROM ACSBV3_0401A_curve                                 (v1.0)  ##
##      - Copy final product of Phase 04-00 to 04-03 pipeline to "Documentation Ready" table.                            ##
##                                                                                                                       ##
###########################################################################################################################
                                                                                                                           
CurveName	ItemLevel	Value_Raw	Value_Smooth	Value_Final
Common	10	5.04718	5.47942	5.47942
Common	11	5.91166	5.59049	5.59049
Common	12	5.81263	6.18744	6.18744
Common	13	6.83803	6.35393	6.35393
Common	14	6.41114	6.54339	6.54339
Common	15	6.38099	6.66029	6.66029
Common	16	7.18875	6.86941	6.86941
Common	17	7.03848	6.65313	6.86941
Common	18	5.73215	7.03127	7.03127
Common	19	8.32318	7.25790	7.25790
Common	20	7.71836	8.74211	8.74211
Common	21	10.18479	8.90109	8.90109
Common	22	8.80013	10.33983	10.33983
Common	23	12.03456	10.32863	10.33983
Common	24	10.15121	11.15316	11.15316
Common	25	11.27370	11.20607	11.20607
Common	26	12.19331	10.86245	11.20607
Common	27	9.12035	8.71133	11.20607
Common	29	4.82033	13.69012	13.69012
Common	30	27.12968	14.58772	14.58772
Common	32	11.81316	18.71799	18.71799
Common	34	17.21112	14.78886	18.71799
Common	35	15.34231	16.13344	18.71799
Common	36	15.84689	13.99284	18.71799
Common	37	10.78933	16.47608	18.71799
Common	40	22.79203	18.12565	18.71799
Common	44	20.79559	21.30349	21.30349
Common	45	20.32285	21.61192	21.61192
Common	46	23.71733	26.69561	26.69561
Common	47	36.04665	30.47460	30.47460
Common	50	31.65981	34.46743	34.46743
Common	55	35.69583	35.66261	35.66261
Common	69	39.63220	32.11652	35.66261
Common	70	21.02154	33.41725	35.66261
Common	71	39.59802	31.32436	35.66261
Common	72	33.35353	38.27186	38.27186
Common	75	41.86404	37.79485	38.27186
Common	80	38.16698	42.12501	42.12501
Common	85	46.34401	53.17789	53.17789
Common	90	75.02269	61.20630	61.20630
Common	115	62.25219	68.63744	68.63744

                                                                                                                           
                                                                                                                           
###########################################################################################################################
##                                                                                                                       ##
##  2. Create and Populate Curve Table: ACSBV3_0404A_master_chart FROM ACSBV3_doc_curve                          (v1.0)  ##
##      - This acts as a master chart for generating "Documentation Ready" charts.                                       ##
##                                                                                                                       ##
###########################################################################################################################
                                                                                                                           
Bracket	ItemLevel	Poor	Common	Uncommon	Rare	Epic	Legendary
10	10	NULL	5.47942	6.67332	NULL	NULL	NULL
10	11	NULL	5.59049	7.15379	NULL	NULL	NULL
10	12	NULL	6.18744	8.08925	NULL	NULL	NULL
10	13	NULL	6.35393	8.79996	NULL	NULL	NULL
10	14	NULL	6.54339	9.50739	NULL	NULL	NULL
10	15	NULL	6.66029	10.31475	NULL	NULL	NULL
10	16	NULL	6.86941	11.17902	NULL	NULL	NULL
10	17	NULL	6.86941	11.90853	NULL	NULL	NULL
10	18	NULL	7.03127	12.72259	17.05133	NULL	NULL
10	19	NULL	7.25790	12.86343	17.12807	NULL	NULL
20	20	NULL	8.74211	13.37251	17.12807	NULL	NULL
20	21	NULL	8.90109	13.42421	17.68452	NULL	NULL
20	22	NULL	10.33983	14.35341	17.90499	NULL	NULL
20	23	NULL	10.33983	14.63914	17.90499	NULL	NULL
20	24	NULL	11.15316	15.53933	19.15083	NULL	NULL
20	25	NULL	11.20607	15.88145	21.13418	NULL	NULL
20	26	NULL	11.20607	16.84621	22.34506	NULL	NULL
20	27	NULL	11.20607	17.19396	22.45599	NULL	NULL
20	28	NULL	NULL	17.51091	22.67826	NULL	NULL
20	29	NULL	13.69012	17.60558	23.56851	NULL	NULL
30	30	NULL	14.58772	18.18104	23.80099	NULL	NULL
30	31	NULL	NULL	19.49941	23.80099	NULL	NULL
30	32	NULL	18.71799	20.10400	23.80099	NULL	NULL
30	33	NULL	NULL	20.61242	25.26239	NULL	NULL
30	34	NULL	18.71799	20.61242	27.32493	NULL	NULL
30	35	NULL	18.71799	20.98682	29.21271	NULL	NULL
30	36	NULL	18.71799	21.98072	29.91585	27.62881	NULL
30	37	NULL	18.71799	22.57844	29.91585	NULL	NULL
30	38	NULL	NULL	22.93167	31.13609	NULL	NULL
30	39	NULL	NULL	24.86227	31.77931	NULL	NULL
40	40	NULL	18.71799	28.15786	33.99903	31.51190	NULL
40	41	NULL	NULL	32.49619	38.93772	33.01230	NULL
40	42	NULL	NULL	35.23573	41.40206	36.90227	NULL
40	43	NULL	NULL	36.71196	42.35603	39.04898	NULL
40	44	NULL	21.30349	39.19368	42.35603	51.88797	NULL
40	45	NULL	21.61192	39.92334	42.35603	56.77962	NULL
40	46	NULL	26.69561	41.75548	42.35603	56.77962	NULL
40	47	NULL	30.47460	41.75548	43.38158	57.49975	NULL
40	48	NULL	NULL	42.36863	43.38158	57.49975	NULL
40	49	NULL	NULL	44.06094	45.03719	57.49975	NULL
50	50	NULL	34.46743	45.33540	45.03719	57.49975	NULL
50	51	NULL	NULL	46.95312	49.29312	57.49975	NULL
50	52	NULL	NULL	48.12018	51.68795	57.49975	NULL
50	53	NULL	NULL	48.54951	51.68795	57.49975	NULL
50	54	NULL	NULL	48.54951	51.68795	57.49975	NULL
50	55	NULL	35.66261	48.54951	51.87506	57.49975	NULL
50	56	NULL	NULL	49.54757	52.06412	57.49975	NULL
50	57	NULL	NULL	50.99130	54.67221	57.52424	NULL
50	58	NULL	NULL	51.72938	54.74311	65.56334	NULL
50	59	NULL	NULL	53.57161	57.42095	74.21993	NULL
60	60	NULL	NULL	53.95670	57.42095	78.30964	NULL
60	61	NULL	NULL	53.97341	57.90896	78.30964	NULL
60	62	NULL	NULL	53.97341	58.24595	78.30964	NULL
60	63	NULL	NULL	53.97341	58.24595	78.30964	NULL
60	64	NULL	NULL	55.13619	58.24595	78.30964	NULL
60	65	NULL	NULL	60.28402	58.24595	78.30964	NULL
60	66	NULL	NULL	NULL	58.24595	79.37703	NULL
60	67	NULL	NULL	NULL	NULL	81.97799	NULL
60	68	NULL	NULL	NULL	58.24595	81.97799	NULL
60	69	NULL	35.66261	NULL	NULL	81.97799	NULL
70	70	NULL	35.66261	NULL	58.24595	81.97799	NULL
70	71	NULL	35.66261	NULL	64.16274	83.97433	NULL
70	72	NULL	38.27186	NULL	NULL	86.85622	NULL
70	73	NULL	NULL	NULL	67.43558	92.14245	NULL
70	74	NULL	NULL	NULL	70.89170	92.14245	NULL
70	75	NULL	38.27186	NULL	NULL	92.14245	NULL
70	76	NULL	NULL	66.89016	NULL	92.14245	67.14073
70	77	NULL	NULL	NULL	NULL	92.14245	NULL
70	78	NULL	NULL	NULL	NULL	92.14245	NULL
70	79	NULL	NULL	NULL	NULL	92.14245	NULL
80	80	NULL	42.12501	71.88463	70.89170	93.16457	77.34872
80	81	NULL	NULL	74.78868	NULL	93.16457	NULL
80	82	NULL	NULL	NULL	77.88520	NULL	NULL
80	83	NULL	NULL	77.00697	NULL	93.16457	NULL
80	84	NULL	NULL	78.56060	NULL	100.89392	NULL
80	85	NULL	53.17789	NULL	82.53319	112.09631	NULL
80	86	NULL	NULL	NULL	NULL	119.45984	NULL
80	87	NULL	NULL	80.11701	NULL	NULL	NULL
80	88	NULL	NULL	NULL	86.79498	119.45984	NULL
80	89	NULL	NULL	NULL	NULL	119.45984	NULL
90	90	NULL	61.20630	81.68283	NULL	119.45984	99.89676
90	91	NULL	NULL	NULL	91.98998	NULL	NULL
90	92	NULL	NULL	NULL	NULL	119.45984	NULL
90	93	NULL	NULL	83.19779	NULL	NULL	NULL
90	94	NULL	NULL	NULL	96.89308	NULL	NULL
90	95	NULL	NULL	NULL	NULL	119.45984	NULL
90	96	NULL	NULL	85.22239	NULL	NULL	NULL
90	97	NULL	NULL	NULL	102.64642	NULL	NULL
90	98	NULL	NULL	NULL	NULL	NULL	NULL
90	99	NULL	NULL	87.02738	NULL	NULL	NULL
100	100	NULL	NULL	NULL	111.90492	119.45984	136.30080
100	101	NULL	NULL	NULL	111.90492	NULL	NULL
100	102	NULL	NULL	87.02738	111.90492	NULL	NULL
100	103	NULL	NULL	87.02738	111.90492	NULL	NULL
100	104	NULL	NULL	NULL	NULL	NULL	NULL
100	105	NULL	NULL	87.02738	NULL	119.45984	NULL
100	106	NULL	NULL	NULL	111.90492	NULL	NULL
100	107	NULL	NULL	NULL	NULL	125.75698	NULL
100	108	NULL	NULL	94.08521	111.90492	NULL	NULL
100	109	NULL	NULL	NULL	111.90492	NULL	NULL
110	110	NULL	NULL	NULL	111.90492	154.45332	NULL
110	111	NULL	NULL	96.49739	NULL	NULL	NULL
110	112	NULL	NULL	NULL	111.90492	NULL	NULL
110	113	NULL	NULL	NULL	111.90492	154.45332	NULL
110	114	NULL	NULL	100.78219	117.18302	NULL	NULL
110	115	NULL	68.63744	NULL	124.15349	154.45332	NULL
110	116	NULL	NULL	NULL	NULL	NULL	NULL
110	117	NULL	NULL	103.20484	NULL	NULL	NULL
110	118	NULL	NULL	NULL	NULL	NULL	NULL
110	119	NULL	NULL	NULL	NULL	NULL	NULL
120	120	NULL	NULL	114.59614	NULL	154.45332	NULL
120	121	NULL	NULL	NULL	NULL	NULL	NULL
120	122	NULL	NULL	NULL	NULL	NULL	NULL
120	123	NULL	NULL	NULL	NULL	154.45332	NULL
120	124	NULL	NULL	NULL	NULL	NULL	NULL
120	125	NULL	NULL	NULL	NULL	159.65794	NULL
120	126	NULL	NULL	NULL	NULL	166.37298	NULL
120	127	NULL	NULL	NULL	NULL	170.55379	NULL
120	128	NULL	NULL	NULL	NULL	171.48009	NULL
120	129	NULL	NULL	NULL	NULL	NULL	NULL
130	130	NULL	NULL	125.16185	145.89025	171.48009	NULL
130	131	NULL	NULL	NULL	NULL	NULL	NULL
130	132	NULL	NULL	NULL	NULL	171.48009	NULL
130	133	NULL	NULL	NULL	NULL	171.48009	NULL
130	134	NULL	NULL	134.79059	162.11961	171.48009	NULL
130	135	NULL	NULL	NULL	NULL	NULL	NULL
130	136	NULL	NULL	NULL	NULL	171.48009	NULL
130	137	NULL	NULL	NULL	NULL	NULL	NULL
130	138	NULL	NULL	142.92511	178.95567	171.48009	NULL
130	139	NULL	NULL	NULL	NULL	NULL	NULL
140	140	NULL	NULL	NULL	NULL	NULL	NULL
140	141	NULL	NULL	NULL	NULL	188.57558	NULL
140	142	NULL	NULL	142.92511	178.95567	NULL	NULL
140	143	NULL	NULL	NULL	NULL	194.18848	NULL
140	144	NULL	NULL	NULL	NULL	NULL	NULL
140	145	NULL	NULL	142.92511	178.95567	198.93716	NULL
140	146	NULL	NULL	142.92511	178.95567	198.93716	NULL
140	147	NULL	NULL	NULL	NULL	NULL	NULL
140	148	NULL	NULL	NULL	NULL	NULL	NULL
140	149	NULL	NULL	NULL	NULL	NULL	NULL
150	150	NULL	NULL	142.92511	178.95567	NULL	NULL
150	151	NULL	NULL	142.92511	NULL	198.93716	NULL
150	152	NULL	NULL	NULL	NULL	NULL	NULL
150	153	NULL	NULL	NULL	NULL	NULL	NULL
150	154	NULL	NULL	142.92511	178.95567	215.89940	NULL
150	155	NULL	NULL	142.92511	178.95567	NULL	NULL
150	156	NULL	NULL	NULL	NULL	232.80628	185.37994
150	157	NULL	NULL	NULL	NULL	NULL	NULL
150	158	NULL	NULL	142.92511	194.08911	NULL	NULL
150	159	NULL	NULL	NULL	205.34599	233.21480	NULL
160	160	NULL	NULL	NULL	NULL	NULL	NULL
160	161	NULL	NULL	NULL	NULL	NULL	NULL
160	162	NULL	NULL	165.99782	206.22549	NULL	NULL
160	163	NULL	NULL	NULL	206.22549	NULL	NULL
160	164	NULL	NULL	NULL	NULL	241.82272	483.95841
160	165	NULL	NULL	NULL	NULL	NULL	NULL
160	166	NULL	NULL	168.58950	212.50364	NULL	NULL
160	167	NULL	NULL	NULL	212.50364	NULL	NULL
160	168	NULL	NULL	NULL	NULL	NULL	NULL
160	169	NULL	NULL	NULL	NULL	NULL	NULL
170	170	NULL	NULL	171.46981	223.88103	NULL	NULL
170	171	NULL	NULL	NULL	231.29378	NULL	NULL
170	172	NULL	NULL	NULL	NULL	NULL	NULL
170	173	NULL	NULL	NULL	NULL	NULL	NULL
170	174	NULL	NULL	175.82604	249.04870	NULL	NULL
170	175	NULL	NULL	NULL	254.79804	NULL	NULL
170	176	NULL	NULL	NULL	NULL	NULL	NULL
170	177	NULL	NULL	NULL	NULL	NULL	NULL
170	178	NULL	NULL	180.27009	NULL	NULL	NULL
170	179	NULL	NULL	NULL	254.79804	NULL	NULL
180	180	NULL	NULL	NULL	NULL	NULL	NULL
180	181	NULL	NULL	NULL	NULL	NULL	NULL
180	182	NULL	NULL	180.27009	NULL	NULL	NULL
180	183	NULL	NULL	NULL	259.03658	NULL	NULL
180	184	NULL	NULL	NULL	NULL	NULL	NULL
180	185	NULL	NULL	NULL	NULL	NULL	NULL
180	186	NULL	NULL	NULL	NULL	NULL	NULL
180	187	NULL	NULL	180.27009	262.70665	NULL	NULL
180	188	NULL	NULL	NULL	NULL	NULL	NULL
180	189	NULL	NULL	NULL	NULL	NULL	NULL
190	190	NULL	NULL	NULL	NULL	NULL	NULL
190	191	NULL	NULL	NULL	NULL	NULL	NULL
190	192	NULL	NULL	NULL	NULL	NULL	NULL
190	193	NULL	NULL	NULL	NULL	NULL	NULL
190	194	NULL	NULL	NULL	NULL	NULL	NULL
190	195	NULL	NULL	NULL	NULL	NULL	NULL
190	196	NULL	NULL	NULL	NULL	NULL	NULL
