
The script is processing. Please wait...

budget_target1	budget_diff1	budget_perc1	budget_target2	budget_diff2	budget_perc2	budget_target3	budget_diff3	budget_perc3
119.78178	-8.27326	0.93093	124.15349	-12.64497	0.89815	124.15349	-12.64497	0.89815
385.18699	262.36456	1.68114	415.30096	232.25059	1.55923	415.30096	232.25059	1.55923
171.19628	-146.49357	0.14429	171.46981	-146.76710	0.14406	171.46981	-146.76710	0.14406
119.78178	-19.89633	0.83390	124.15349	-24.26804	0.80453	124.15349	-24.26804	0.80453
453.94157	-257.01135	0.43382	427.08868	-230.15846	0.46110	455.74188	-258.81166	0.43211
453.94157	394.05930	1.86808	427.08868	420.91219	1.98554	455.74188	392.25899	1.86070
453.94157	1.56622	1.00345	427.08868	28.41911	1.06654	455.74188	-0.23409	0.99949
175.30936	28.85887	1.16462	188.57558	15.59265	1.08269	188.57558	15.59265	1.08269
58.67274	-10.04396	0.82881	56.01968	-7.39090	0.86807	57.42095	-8.79217	0.84688
105.19202	-88.19870	0.16155	94.27010	-77.27678	0.18026	111.90492	-94.91160	0.15185

Script Complete.
